CostCenter,Account,cost,BPA
Marketing-02,700003,2909.99,phones.csv
Marketing-02,800000,1290.08,phones.csv
Marketing-02,800001,1023.41,phones.csv
Marketing-02,800002,789.1,phones.csv
Marketing-03,100000,6876.37,phones.csv
Marketing-03,100001,1787.86,phones.csv
Marketing-03,200000,53233.38,phones.csv
Marketing-03,400000,897.67,phones.csv
Marketing-03,400001,465.02,phones.csv
Marketing-03,500000,41000.03,phones.csv
Marketing-03,600000,23210.59,phones.csv
Marketing-03,600001,34471.23,phones.csv
Marketing-03,600002,18843.06,phones.csv
Marketing-03,700000,6802.09,phones.csv
Marketing-03,700001,9113.01,phones.csv
Marketing-03,700002,5146.27,phones.csv
Marketing-03,700003,5246.06,phones.csv
Marketing-03,800000,3394.76,phones.csv
Marketing-03,800001,7490.47,phones.csv
Marketing-03,800002,1382.35,phones.csv
Product-Mgmt-01,100000,94463.3,phones.csv
Product-Mgmt-01,100001,24560.46,phones.csv
Product-Mgmt-01,200000,85286.88,phones.csv
Product-Mgmt-01,400000,375.92,phones.csv
Product-Mgmt-01,400001,295.84,phones.csv
Product-Mgmt-01,500000,27217.35,phones.csv
Product-Mgmt-01,600000,28445.35,phones.csv
Product-Mgmt-01,600001,24552.2,phones.csv
Product-Mgmt-01,600002,38044.14,phones.csv
Product-Mgmt-01,700000,1475.85,phones.csv
Product-Mgmt-01,700001,4554.87,phones.csv
Product-Mgmt-01,700002,1058.28,phones.csv
Product-Mgmt-01,700003,4119.74,phones.csv
Product-Mgmt-01,800000,2171.86,phones.csv
Product-Mgmt-01,800001,9494.86,phones.csv
Product-Mgmt-01,800002,1653.13,phones.csv
R&D-01,100000,9523.16,phones.csv
R&D-01,100001,2476.02,phones.csv
R&D-01,200000,22413.1,phones.csv
R&D-01,400000,6.71,phones.csv
R&D-01,400001,531.5,phones.csv
R&D-01,500000,16450.23,phones.csv
R&D-01,600000,24294.57,phones.csv
R&D-01,600001,26987.94,phones.csv
R&D-01,600002,29792.13,phones.csv
R&D-01,700000,3334.59,phones.csv
R&D-01,700001,8409.58,phones.csv
R&D-01,700002,2550.95,phones.csv
R&D-01,700003,6113.46,phones.csv
R&D-01,800000,750.71,phones.csv
R&D-01,800001,1176.71,phones.csv
R&D-01,800002,8688.92,phones.csv
R&D-02,100000,80847.74,phones.csv
R&D-02,100001,21020.41,phones.csv
R&D-02,200000,56494.53,phones.csv
R&D-02,400000,845.39,phones.csv
R&D-02,400001,406.63,phones.csv
R&D-02,500000,26221.73,phones.csv
R&D-02,600000,21285.89,phones.csv
R&D-02,600001,12224.63,phones.csv
R&D-02,600002,23193.07,phones.csv
R&D-02,700000,5045.45,phones.csv
R&D-02,700001,3696.82,phones.csv
R&D-02,700002,3984.14,phones.csv
R&D-02,700003,6144.41,phones.csv
R&D-02,800000,6190.68,phones.csv
R&D-02,800001,3985.21,phones.csv
R&D-02,800002,5609.77,phones.csv
R&D-03,100000,27622.53,phones.csv
R&D-03,100001,7181.86,phones.csv
R&D-03,200000,75009.86,phones.csv
R&D-03,400000,171.11,phones.csv
R&D-03,400001,151.73,phones.csv
R&D-03,500000,37503.76,phones.csv
R&D-03,600000,4596.66,phones.csv
R&D-03,600001,9192.88,phones.csv
R&D-03,600002,17803.66,phones.csv
R&D-03,700000,4256.64,phones.csv
R&D-03,700001,8112.22,phones.csv
R&D-03,700002,279.37,phones.csv
R&D-03,700003,3734.01,phones.csv
R&D-03,800000,3125.74,phones.csv
R&D-03,800001,2422.66,phones.csv
R&D-03,800002,2536.51,phones.csv
R&D-04,100000,37862.33,phones.csv
R&D-04,100001,9844.21,phones.csv
R&D-04,200000,88747.55,phones.csv
R&D-04,400000,733.64,phones.csv
R&D-04,400001,431.65,phones.csv
R&D-04,500000,43405.42,phones.csv
R&D-04,600000,4666.56,phones.csv
R&D-04,600001,22523.85,phones.csv
R&D-04,600002,25837.07,phones.csv
R&D-04,700000,6268.39,phones.csv
R&D-04,700001,8120.74,phones.csv
R&D-04,700002,4302.69,phones.csv
R&D-04,700003,1095.24,phones.csv
R&D-04,800000,6327.01,phones.csv
R&D-04,800001,1149.67,phones.csv
R&D-04,800002,9357.9,phones.csv
FIN-01,100000,400.49,phones.csv
FIN-01,100001,104.13,phones.csv
FIN-01,200000,56430.75,phones.csv
FIN-01,400000,821.12,phones.csv
FIN-01,400001,849.13,phones.csv
FIN-01,500000,3389.91,phones.csv
FIN-01,600000,13461.28,phones.csv
FIN-01,600001,13274.7,phones.csv
FIN-01,600002,33279.01,phones.csv
FIN-01,700000,1685.96,phones.csv
FIN-01,700001,5188.76,phones.csv
FIN-01,700002,1540.87,phones.csv
FIN-01,700003,511.37,phones.csv
FIN-01,800000,1629.22,phones.csv
FIN-01,800001,3697.4,phones.csv
FIN-01,800002,5869.33,phones.csv
ACC-01,100000,99661.9,phones.csv
ACC-01,100001,25912.09,phones.csv
ACC-01,200000,19276.79,phones.csv
ACC-01,400000,741,phones.csv
ACC-01,400001,169.56,phones.csv
ACC-01,500000,43007.34,phones.csv
ACC-01,600000,43810.48,phones.csv
ACC-01,600001,21897.35,phones.csv
ACC-01,600002,24084.02,phones.csv
ACC-01,700000,848.1,phones.csv
ACC-01,700001,238.5,phones.csv
ACC-01,700002,859.8,phones.csv
ACC-01,700003,4915.83,phones.csv
ACC-01,800000,4557.29,phones.csv
ACC-01,800001,6467.35,phones.csv
ACC-01,800002,167.04,phones.csv
IT-01,100000,5478.62,phones.csv
IT-01,100001,1424.44,phones.csv
IT-01,200000,93799.94,phones.csv
IT-01,400000,489.12,phones.csv
IT-01,400001,412.98,phones.csv
IT-01,500000,34823.92,phones.csv
IT-01,600000,24649.07,phones.csv
IT-01,600001,31821.33,phones.csv
IT-01,600002,6019.21,phones.csv
IT-01,700000,3160.17,phones.csv
IT-01,700001,8947.19,phones.csv
IT-01,700002,4009.68,phones.csv
IT-01,700003,1696.66,phones.csv
IT-01,800000,4420,phones.csv
IT-01,800001,9782.73,phones.csv
IT-01,800002,8470.54,phones.csv
PS-01,100000,32789.42,phones.csv
PS-01,100001,8525.25,phones.csv
PS-01,200000,75380.48,phones.csv
PS-01,400000,414.12,phones.csv
PS-01,400001,880.98,phones.csv
PS-01,500000,35149.36,phones.csv
PS-01,600000,18523.55,phones.csv
PS-01,600001,25400.08,phones.csv
PS-01,600002,12141.74,phones.csv
PS-01,700000,3606.01,phones.csv
PS-01,700001,4417.18,phones.csv
PS-01,700002,1413.71,phones.csv
PS-01,700003,2119.07,phones.csv
PS-01,800000,7146.34,phones.csv
PS-01,800001,7048.24,phones.csv
PS-01,800002,7590.48,phones.csv
IS-01,100000,20132,phones.csv
IS-01,100001,5234.32,phones.csv
IS-01,200000,53456.64,phones.csv
IS-01,400000,844.58,phones.csv
IS-01,400001,111.65,phones.csv
IS-01,500000,476.15,phones.csv
IS-01,600000,43120.34,phones.csv
IS-01,600001,12670.84,phones.csv
IS-01,600002,41058.02,phones.csv
IS-01,700000,3734.61,phones.csv
IS-01,700001,9903.57,phones.csv
IS-01,700002,7958.38,phones.csv
IS-01,700003,2977.06,phones.csv
IS-01,800000,28.64,phones.csv
IS-01,800001,4602.6,phones.csv
IS-01,800002,4244.65,phones.csv
Exec-Office-01,100000,60732.84,phones.csv
Exec-Office-01,100001,15790.54,phones.csv
Exec-Office-01,200000,32855.06,phones.csv
Exec-Office-01,400000,455.39,phones.csv
Exec-Office-01,400001,414.8,phones.csv
Exec-Office-01,500000,44928.4,phones.csv
Exec-Office-01,600000,3538.88,phones.csv
Exec-Office-01,600001,2101.23,phones.csv
Exec-Office-01,600002,19172.12,phones.csv
Exec-Office-01,700000,4215.5,phones.csv
Exec-Office-01,700001,8345.23,phones.csv
Exec-Office-01,700002,6578.88,phones.csv
Exec-Office-01,700003,5230.34,phones.csv
Exec-Office-01,800000,8157.1,phones.csv
Exec-Office-01,800001,3339.09,phones.csv
Exec-Office-01,800002,3292.87,phones.csv
LEG-01,100000,56021.81,phones.csv
LEG-01,100001,14565.67,phones.csv
LEG-01,200000,17288.62,phones.csv
LEG-01,400000,274.45,phones.csv
LEG-01,400001,591.42,phones.csv
LEG-01,500000,3773.65,phones.csv
LEG-01,600000,21337.7,phones.csv
LEG-01,600001,7454.5,phones.csv
LEG-01,600002,39087.87,phones.csv
LEG-01,700000,3762.21,phones.csv
LEG-01,700001,5158.1,phones.csv
LEG-01,700002,4781.37,phones.csv
LEG-01,700003,4118.57,phones.csv
LEG-01,800000,3103.62,phones.csv
LEG-01,800001,5116.17,phones.csv
LEG-01,800002,6283.45,phones.csv
TAX-01,100000,75513.17,phones.csv
TAX-01,100001,19633.42,phones.csv
TAX-01,200000,42760.95,phones.csv
TAX-01,400000,125.42,phones.csv
TAX-01,400001,450.34,phones.csv
TAX-01,500000,42937.05,phones.csv
TAX-01,600000,27367.82,phones.csv
TAX-01,600001,40897.38,phones.csv
TAX-01,600002,22224.8,phones.csv
TAX-01,700000,8923.05,phones.csv
TAX-01,700001,5174.7,phones.csv
TAX-01,700002,3163.48,phones.csv
TAX-01,700003,348.58,phones.csv
TAX-01,800000,5443.52,phones.csv
TAX-01,800001,8767.58,phones.csv
TAX-01,800002,3128.08,phones.csv
Sales-01,100000,74267.8,implementation.csv
Sales-01,100001,19309.63,implementation.csv
Sales-01,200000,335.54,implementation.csv
Sales-01,400000,570.67,implementation.csv
Sales-01,400001,295.45,implementation.csv
Sales-01,500000,19748.52,ITDemand.csv
Sales-01,600000,12573.3,implementation.csv
Sales-01,600001,16465.36,implementation.csv
Sales-01,600002,3385.77,implementation.csv
Sales-01,700000,9894.1,implementation.csv
Sales-01,700001,7959.04,implementation.csv
Sales-01,700002,4073.92,implementation.csv
Sales-01,700003,8740.29,implementation.csv
Sales-01,800000,805.75,implementation.csv
Sales-01,800001,5678.09,implementation.csv
Sales-01,800002,1198.07,implementation.csv
Sales-02,100000,89337.22,implementation.csv
Sales-02,100001,23227.68,implementation.csv
Sales-02,200000,10951.54,implementation.csv
Sales-02,400000,173.87,implementation.csv
Sales-02,400001,114.18,phones.csv
Sales-02,500000,28282.68,phones.csv
Sales-02,600000,29262.9,phones.csv
Sales-02,600001,22591.69,phones.csv
Sales-02,600002,19281.45,phones.csv
Sales-02,700000,7571.1,phones.csv
Sales-02,700001,2770.68,phones.csv
Sales-02,700002,6461.51,phones.csv
Sales-02,700003,5745.08,phones.csv
Sales-02,800000,9641.25,phones.csv
Sales-02,800001,8720.86,ITDemand.csv
Sales-02,800002,2560.3,phones.csv
Sales-03,100000,45430.71,phones.csv
Sales-03,100001,11811.98,phones.csv
Sales-03,200000,58784.03,phones.csv
Sales-03,400000,182.96,phones.csv
Sales-03,400001,467.41,phones.csv
Sales-03,500000,13718.75,phones.csv
Sales-03,600000,12806.54,phones.csv
Sales-03,600001,15729.53,phones.csv
Sales-03,600002,22214.01,phones.csv
Sales-03,700000,3916.82,phones.csv
Sales-03,700001,1959.93,sales.csv
Sales-03,700002,9396.54,sales.csv
Sales-03,700003,693.99,sales.csv
Sales-03,800000,3038.29,sales.csv
Sales-03,800001,9858.48,sales.csv
Sales-03,800002,8011.91,sales.csv
Sales-04,100000,52548.83,sales.csv
Sales-04,100001,13662.7,sales.csv
Sales-04,200000,66651.17,sales.csv
Sales-04,400000,171.55,phones.csv
Sales-04,400001,91.62,phones.csv
Sales-04,500000,6459.66,phones.csv
Sales-04,600000,21555.64,phones.csv
Sales-04,600001,40209.4,phones.csv
Sales-04,600002,30711.66,phones.csv
Sales-04,700000,7389.78,phones.csv
Sales-04,700001,4191.11,phones.csv
Sales-04,700002,9407.05,phones.csv
Sales-04,700003,6056.37,phones.csv
Sales-04,800000,5005.74,phones.csv
Sales-04,800001,7699.19,phones.csv
Sales-04,800002,115.46,phones.csv
Sales-05,100000,15517.96,phones.csv
Sales-05,100001,4034.67,phones.csv
Sales-05,200000,33553.76,phones.csv
Sales-05,400000,880.59,phones.csv
Sales-05,400001,801.38,phones.csv
Sales-05,500000,20989.61,phones.csv
Sales-05,600000,111.19,phones.csv
Sales-05,600001,22576.67,phones.csv
Sales-05,600002,13913.57,phones.csv
Sales-05,700000,801.32,phones.csv
Sales-05,700001,7498.18,phones.csv
Sales-05,700002,5893.79,phones.csv
Sales-05,700003,4991.7,phones.csv
Sales-05,800000,6823.21,phones.csv
Sales-05,800001,8831.45,phones.csv
Sales-05,800002,8283.36,phones.csv
Marketing-01,100000,47775.15,phones.csv
Marketing-01,100001,12421.54,phones.csv
Marketing-01,200000,15402.11,phones.csv
Marketing-01,400000,482.47,phones.csv
Marketing-01,400001,159.51,phones.csv
Marketing-01,500000,4459.76,phones.csv
Marketing-01,600000,29546.97,phones.csv
Marketing-01,600001,38263.98,phones.csv
Marketing-01,600002,20343.03,phones.csv
Marketing-01,700000,6678,phones.csv
Marketing-01,700001,5367.56,phones.csv
Marketing-01,700002,4990.81,phones.csv
Marketing-01,700003,707.81,ITDemand.csv
Marketing-01,800000,5199.21,phones.csv
Marketing-01,800001,9806.15,phones.csv
Marketing-01,800002,6984.51,phones.csv
Marketing-02,100000,27829.09,phones.csv
Marketing-02,100001,7235.56,phones.csv
Marketing-02,200000,59984.68,phones.csv
Marketing-02,400000,549.69,phones.csv
Marketing-02,400001,128.75,ITDemand.csv
Marketing-02,500000,19778.48,phones.csv
Marketing-02,600000,42473.4,phones.csv
Marketing-02,600001,28533.66,phones.csv
Marketing-02,600002,24124.73,phones.csv
Marketing-02,700000,1198.36,phones.csv
Marketing-02,700001,9425.5,phones.csv
Marketing-02,700002,2095.26,phones.csv
Marketing-02,700003,8338.4,phones.csv
Marketing-02,800000,1804.5,phones.csv
Marketing-02,800001,780.5,phones.csv
Marketing-02,800002,1145.63,phones.csv
Marketing-03,100000,42749.23,phones.csv
Marketing-03,100001,11114.8,phones.csv
Marketing-03,200000,38274.99,phones.csv
Marketing-03,400000,482.97,phones.csv
Marketing-03,400001,582.99,phones.csv
Marketing-03,500000,8904.36,phones.csv
Marketing-03,600000,37754.91,phones.csv
Marketing-03,600001,17720.18,phones.csv
Marketing-03,600002,42365.89,phones.csv
Marketing-03,700000,3731.93,phones.csv
Marketing-03,700001,7696.47,phones.csv
Marketing-03,700002,6533.03,phones.csv
Marketing-03,700003,865.86,phones.csv
Marketing-03,800000,2378.9,phones.csv
Marketing-03,800001,1106.42,phones.csv
Marketing-03,800002,3180.86,phones.csv
Product-Mgmt-01,100000,32725.62,phones.csv
Product-Mgmt-01,100001,8508.66,phones.csv
Product-Mgmt-01,200000,21572.79,phones.csv
Product-Mgmt-01,400000,535.43,phones.csv
Product-Mgmt-01,400001,69.91,phones.csv
Product-Mgmt-01,500000,39643.41,phones.csv
Product-Mgmt-01,600000,19222.71,phones.csv
Product-Mgmt-01,600001,44237.59,phones.csv
Product-Mgmt-01,600002,32809.54,phones.csv
Product-Mgmt-01,700000,4112.86,phones.csv
Product-Mgmt-01,700001,1361.91,phones.csv
Product-Mgmt-01,700002,4888.45,phones.csv
Product-Mgmt-01,700003,367.53,phones.csv
Product-Mgmt-01,800000,4911.75,phones.csv
Product-Mgmt-01,800001,2240.54,phones.csv
Product-Mgmt-01,800002,3292.86,phones.csv
R&D-01,100000,20068.43,phones.csv
R&D-01,100001,5217.79,phones.csv
R&D-01,200000,82796.41,phones.csv
R&D-01,400000,763.64,phones.csv
R&D-01,400001,889.5,phones.csv
R&D-01,500000,5515.99,phones.csv
R&D-01,600000,19975.83,phones.csv
R&D-01,600001,25462.77,phones.csv
R&D-01,600002,19057.1,phones.csv
R&D-01,700000,7430.79,phones.csv
R&D-01,700001,7325.61,phones.csv
R&D-01,700002,5901.69,phones.csv
R&D-01,700003,6817.74,phones.csv
R&D-01,800000,4982.6,phones.csv
R&D-01,800001,4584.94,phones.csv
R&D-01,800002,2888.85,phones.csv
R&D-02,100000,6054.12,phones.csv
R&D-02,100001,1574.07,phones.csv
R&D-02,200000,38183.67,phones.csv
R&D-02,400000,188.91,phones.csv
R&D-02,400001,970.64,phones.csv
R&D-02,500000,36741.69,phones.csv
R&D-02,600000,15121.98,phones.csv
R&D-02,600001,1649.21,phones.csv
R&D-02,600002,29245.95,phones.csv
R&D-02,700000,1077.61,phones.csv
R&D-02,700001,9529.04,phones.csv
R&D-02,700002,8744.52,phones.csv
R&D-02,700003,2068.88,phones.csv
R&D-02,800000,8042.38,phones.csv
R&D-02,800001,8718.92,phones.csv
R&D-02,800002,222.63,phones.csv
R&D-03,100000,98362.11,phones.csv
R&D-03,100001,25574.15,phones.csv
R&D-03,200000,56125.15,phones.csv
R&D-03,400000,235.83,phones.csv
R&D-03,400001,474.84,phones.csv
R&D-03,500000,38076.97,phones.csv
R&D-03,600000,10178.77,phones.csv
R&D-03,600001,30480.77,phones.csv
R&D-03,600002,34127.02,phones.csv
R&D-03,700000,9709.23,phones.csv
R&D-03,700001,1046.56,phones.csv
R&D-03,700002,8456.49,phones.csv
R&D-03,700003,9180.79,phones.csv
R&D-03,800000,8772.96,phones.csv
R&D-03,800001,7129.96,phones.csv
R&D-03,800002,571.17,phones.csv
R&D-04,100000,95921.78,phones.csv
R&D-04,100001,24939.66,phones.csv
R&D-04,200000,93691.06,phones.csv
R&D-04,400000,415.12,phones.csv
R&D-04,400001,208.58,phones.csv
R&D-04,500000,1811.66,phones.csv
R&D-04,600000,38897.79,phones.csv
R&D-04,600001,30065.66,phones.csv
R&D-04,600002,27289.48,phones.csv
R&D-04,700000,4141.88,phones.csv
R&D-04,700001,7561.14,phones.csv
R&D-04,700002,9564.31,phones.csv
R&D-04,700003,6520.08,phones.csv
R&D-04,800000,2290.03,phones.csv
R&D-04,800001,6236.79,phones.csv
R&D-04,800002,2924.79,phones.csv
FIN-01,100000,69098.28,phones.csv
FIN-01,100001,17965.55,phones.csv
FIN-01,200000,76646.02,phones.csv
FIN-01,400000,233.35,phones.csv
FIN-01,400001,575.68,phones.csv
FIN-01,500000,19276.19,phones.csv
FIN-01,600000,14126.99,phones.csv
FIN-01,600001,26192.84,phones.csv
FIN-01,600002,27560.81,phones.csv
FIN-01,700000,2487.59,phones.csv
FIN-01,700001,5371.7,phones.csv
FIN-01,700002,9719.29,phones.csv
FIN-01,700003,6542.27,phones.csv
FIN-01,800000,8722.97,phones.csv
FIN-01,800001,8344.83,phones.csv
FIN-01,800002,8568.61,phones.csv
ACC-01,100000,728.8,phones.csv
ACC-01,100001,189.49,phones.csv
ACC-01,200000,49099.24,phones.csv
ACC-01,400000,150.98,phones.csv
ACC-01,400001,706.93,phones.csv
ACC-01,500000,9044.08,phones.csv
ACC-01,600000,7878.27,phones.csv
ACC-01,600001,12628.14,phones.csv
ACC-01,600002,15106.73,phones.csv
ACC-01,700000,7139.53,phones.csv
ACC-01,700001,385.26,phones.csv
ACC-01,700002,8551.99,phones.csv
ACC-01,700003,9784.77,phones.csv
ACC-01,800000,486.2,phones.csv
ACC-01,800001,8188,phones.csv
ACC-01,800002,6467.23,phones.csv
IT-01,100000,56799.2,phones.csv
IT-01,100001,14767.79,phones.csv
IT-01,200000,74320.57,phones.csv
IT-01,400000,798.23,phones.csv
IT-01,400001,734.64,phones.csv
IT-01,500000,24119.33,phones.csv
IT-01,600000,37721.64,phones.csv
IT-01,600001,12279.56,phones.csv
IT-01,600002,38787.13,phones.csv
IT-01,700000,9952.73,phones.csv
IT-01,700001,8458.67,phones.csv
IT-01,700002,9841.48,phones.csv
IT-01,700003,6257.28,phones.csv
IT-01,800000,2966.36,phones.csv
IT-01,800001,8877.31,phones.csv
IT-01,800002,6001.12,phones.csv
PS-01,100000,24564.81,phones.csv
PS-01,100001,6386.85,phones.csv
PS-01,200000,68171.78,phones.csv
PS-01,400000,484.24,phones.csv
PS-01,400001,444.79,phones.csv
PS-01,500000,6638.53,phones.csv
PS-01,600000,44868.7,phones.csv
PS-01,600001,18619.19,phones.csv
PS-01,600002,29844.31,phones.csv
PS-01,700000,3246.57,phones.csv
PS-01,700001,2503.73,phones.csv
PS-01,700002,4739.36,phones.csv
PS-01,700003,7814.77,phones.csv
PS-01,800000,1832.77,phones.csv
PS-01,800001,2522.58,phones.csv
PS-01,800002,305.09,phones.csv
IS-01,100000,77265.53,phones.csv
IS-01,100001,20089.04,phones.csv
IS-01,200000,60258.64,phones.csv
IS-01,400000,142.54,phones.csv
IS-01,400001,958.99,phones.csv
IS-01,500000,28416.04,phones.csv
IS-01,600000,33170.6,phones.csv
IS-01,600001,30976.45,phones.csv
IS-01,600002,31491.75,phones.csv
IS-01,700000,1779.34,phones.csv
IS-01,700001,4326.76,phones.csv
IS-01,700002,7897.4,phones.csv
IS-01,700003,3703.01,phones.csv
IS-01,800000,3114.45,phones.csv
IS-01,800001,1873.72,phones.csv
IS-01,800002,7450.96,phones.csv
Exec-Office-01,100000,76812.39,phones.csv
Exec-Office-01,100001,19971.22,phones.csv
Exec-Office-01,200000,74104.95,phones.csv
Exec-Office-01,400000,761.28,phones.csv
Exec-Office-01,400001,122.61,phones.csv
Exec-Office-01,500000,1360.69,phones.csv
Exec-Office-01,600000,5284.04,phones.csv
Exec-Office-01,600001,42691.68,phones.csv
Exec-Office-01,600002,33872.87,phones.csv
Exec-Office-01,700000,7909.45,phones.csv
Exec-Office-01,700001,5468.01,phones.csv
Exec-Office-01,700002,4964.49,phones.csv
Exec-Office-01,700003,2914.36,phones.csv
Exec-Office-01,800000,6056.19,phones.csv
Exec-Office-01,800001,1667.45,phones.csv
Exec-Office-01,800002,2216.16,phones.csv
LEG-01,100000,3200.92,phones.csv
LEG-01,100001,832.24,phones.csv
LEG-01,200000,22006.67,phones.csv
LEG-01,400000,777.45,phones.csv
LEG-01,400001,599.48,phones.csv
LEG-01,500000,36119.75,phones.csv
LEG-01,600000,24932.2,phones.csv
LEG-01,600001,30527.82,phones.csv
LEG-01,600002,36791.48,phones.csv
LEG-01,700000,8133.79,phones.csv
LEG-01,700001,9167.77,phones.csv
LEG-01,700002,8228.52,phones.csv
LEG-01,700003,6785.52,phones.csv
LEG-01,800000,3600.78,phones.csv
LEG-01,800001,5586.42,phones.csv
LEG-01,800002,8912.44,phones.csv
TAX-01,100000,20772.76,phones.csv
TAX-01,100001,5400.92,phones.csv
TAX-01,200000,62961.8,phones.csv
TAX-01,400000,581.52,phones.csv
TAX-01,400001,825.6,phones.csv
TAX-01,500000,17220.3,phones.csv
TAX-01,600000,5292.66,phones.csv
TAX-01,600001,16670.13,phones.csv
TAX-01,600002,37100.27,phones.csv
TAX-01,700000,8932.43,phones.csv
TAX-01,700001,4352.52,phones.csv
TAX-01,700002,7309.42,phones.csv
TAX-01,700003,6616.51,phones.csv
TAX-01,800000,9481.84,phones.csv
TAX-01,800001,1340.18,phones.csv
TAX-01,800002,6620.76,phones.csv
Sales-01,100000,54931.72,implementation.csv
Sales-01,100001,14282.25,implementation.csv
Sales-01,200000,23035.12,implementation.csv
Sales-01,400000,254.86,implementation.csv
Sales-01,400001,652.5,implementation.csv
Sales-01,500000,29058.1,ITDemand.csv
Sales-01,600000,6726.86,implementation.csv
Sales-01,600001,5414.32,implementation.csv
Sales-01,600002,33999.31,implementation.csv
Sales-01,700000,9613.82,implementation.csv
Sales-01,700001,3570.05,implementation.csv
Sales-01,700002,5751.18,implementation.csv
Sales-01,700003,2139.93,implementation.csv
Sales-01,800000,5871.5,implementation.csv
Sales-01,800001,181.63,implementation.csv
Sales-01,800002,4816.23,implementation.csv
