month,day,country,calls,duration,client,total_phonetime
1,18,ITA,20,4.8,Alitalia,96
1,19,ITA,2,44.8,Alitalia,89.6
1,20,ITA,4,29.6,Alitalia,118.4
1,21,ITA,8,7.7,Alitalia,61.6
1,1,USA,43,35,American,1505
1,2,USA,17,34.7,American,589.9
1,3,USA,26,26.8,American,696.8
1,4,USA,36,33.5,American,1206
1,5,USA,1,23.3,American,23.3
1,6,USA,20,18.5,American,370
1,7,USA,10,29.7,American,297
1,8,USA,26,16.1,American,418.6
1,9,USA,3,15.9,American,47.7
1,10,USA,31,6.4,American,198.4
1,11,USA,7,40,American,280
1,12,USA,23,44.4,American,1021.2
1,13,USA,1,8.6,American,8.6
1,14,USA,3,33,American,99
1,15,USA,18,33.6,American,604.8
1,16,USA,31,44.3,American,1373.3
1,17,USA,1,11.6,American,11.6
1,18,USA,33,3.7,American,122.1
1,19,USA,42,40.6,American,1705.2
1,20,USA,8,37.8,American,302.4
1,21,USA,29,31.8,American,922.2
1,1,UK,16,11.5,BA,184
1,2,UK,5,23.8,BA,119
1,3,UK,11,35.8,BA,393.8
1,4,UK,6,34.5,BA,207
1,5,UK,9,22.2,BA,199.8
1,6,UK,18,12.4,BA,223.2
1,7,UK,19,43.1,BA,818.9
1,8,UK,10,0.3,BA,3
1,9,UK,11,7.5,BA,82.5
1,10,UK,5,1.7,BA,8.5
1,11,UK,21,1.6,BA,33.6
1,12,UK,13,32.7,BA,425.1
1,13,UK,17,2.1,BA,35.7
1,14,UK,14,36.6,BA,512.4
1,15,UK,5,29.8,BA,149
1,17,UK,25,31.7,BA,792.5
1,18,UK,14,6.3,BA,88.2
1,19,UK,7,34.3,BA,240.1
1,20,UK,23,12.1,BA,278.3
1,21,UK,20,27.4,BA,548
1,1,DUB,8,10.5,EmiratesAirlines,84
1,2,DUB,7,42.9,EmiratesAirlines,300.3
1,3,DUB,20,29.6,EmiratesAirlines,592
1,4,DUB,15,21.2,EmiratesAirlines,318
1,5,DUB,6,30.4,EmiratesAirlines,182.4
1,6,DUB,5,38.9,EmiratesAirlines,194.5
1,7,DUB,23,7.1,EmiratesAirlines,163.3
1,8,DUB,22,5.5,EmiratesAirlines,121
1,9,DUB,13,28.3,EmiratesAirlines,367.9
1,10,DUB,13,33.8,EmiratesAirlines,439.4
1,11,DUB,11,17.6,EmiratesAirlines,193.6
1,12,DUB,4,32,EmiratesAirlines,128
1,13,DUB,17,20.6,EmiratesAirlines,350.2
1,14,DUB,25,37.2,EmiratesAirlines,930
1,15,DUB,11,13.7,EmiratesAirlines,150.7
1,16,DUB,1,35.1,EmiratesAirlines,35.1
1,17,DUB,23,6.3,EmiratesAirlines,144.9
1,18,DUB,2,7.1,EmiratesAirlines,14.2
1,19,DUB,13,39,EmiratesAirlines,507
1,20,DUB,9,3.5,EmiratesAirlines,31.5
1,21,DUB,14,25.6,EmiratesAirlines,358.4
1,1,HEL,19,34.8,SwissAir,661.2
1,2,HEL,19,36.6,SwissAir,695.4
1,3,HEL,9,19.4,SwissAir,174.6
1,4,HEL,1,18.1,SwissAir,18.1
1,5,HEL,8,7.2,SwissAir,57.6
1,6,HEL,1,37.4,SwissAir,37.4
1,7,HEL,14,37,SwissAir,518
1,8,HEL,12,41.4,SwissAir,496.8
1,9,HEL,3,44.3,SwissAir,132.9
1,10,HEL,20,38.8,SwissAir,776
1,11,HEL,10,31.3,SwissAir,313
1,12,HEL,20,17.7,SwissAir,354
1,13,HEL,12,7.7,SwissAir,92.4
1,14,HEL,15,10.5,SwissAir,157.5
1,15,HEL,19,38.5,SwissAir,731.5
1,16,HEL,15,10.9,SwissAir,163.5
1,17,HEL,3,17.5,SwissAir,52.5
1,18,HEL,13,7.5,SwissAir,97.5
1,19,HEL,11,28.2,SwissAir,310.2
1,20,HEL,0,12.2,SwissAir,0
1,21,HEL,9,0.6,SwissAir,5.4
1,1,SAL,1,30.1,TACA,30.1
1,2,SAL,4,17.1,TACA,68.4
1,3,SAL,2,7.5,TACA,15
1,4,SAL,2,13.5,TACA,27
1,5,SAL,1,29.2,TACA,29.2
1,6,SAL,0,39.1,TACA,0
1,7,SAL,3,0.1,TACA,0.3
1,8,SAL,4,42.6,TACA,170.4
1,9,SAL,0,32.4,TACA,0
1,10,SAL,0,25.6,TACA,0
1,11,SAL,3,26.1,TACA,78.3
1,12,SAL,2,39.4,TACA,78.8
1,13,SAL,0,29.9,TACA,0
1,14,SAL,2,7.4,TACA,14.8
1,15,SAL,2,33.7,TACA,67.4
1,16,SAL,3,13.4,TACA,40.2
1,17,SAL,3,41.4,TACA,124.2
1,18,SAL,3,14,TACA,42
1,19,SAL,0,14.4,TACA,0
1,20,SAL,2,1.6,TACA,3.2
1,21,SAL,4,36.7,TACA,146.8
1,1,UK,20,44.1,VirginAtlantic,882
1,2,UK,2,11.1,VirginAtlantic,22.2
1,3,UK,23,30.8,VirginAtlantic,708.4
1,4,UK,19,23.7,VirginAtlantic,450.3
1,5,UK,3,16.3,VirginAtlantic,48.9
1,6,UK,2,42.6,VirginAtlantic,85.2
1,7,UK,14,30.2,VirginAtlantic,422.8
1,8,UK,18,15,VirginAtlantic,270
1,9,UK,2,19.8,VirginAtlantic,39.6
1,10,UK,19,9.1,VirginAtlantic,172.9
1,11,UK,5,12.1,VirginAtlantic,60.5
1,12,UK,13,16.6,VirginAtlantic,215.8
1,13,UK,18,22.5,VirginAtlantic,405
1,14,UK,14,19,VirginAtlantic,266
1,15,UK,23,12.5,VirginAtlantic,287.5
1,16,UK,3,4.7,VirginAtlantic,14.1
1,18,UK,16,1.2,VirginAtlantic,19.2
1,19,UK,8,40.1,VirginAtlantic,320.8
1,20,UK,4,25.9,VirginAtlantic,103.6
1,21,UK,16,40.9,VirginAtlantic,654.4
2,1,CHI,9.9,44.88,AirChina,444.312
2,2,CHI,17.6,46.09,AirChina,811.184
2,3,CHI,9.9,7.15,AirChina,70.785
2,4,CHI,5.5,13.64,AirChina,75.02
2,5,CHI,2.2,41.14,AirChina,90.508
2,6,CHI,8.8,2.09,AirChina,18.392
2,9,CHI,13.2,15.84,AirChina,209.088
2,10,CHI,24.2,49.06,AirChina,1187.252
2,11,CHI,8.8,43.45,AirChina,382.36
2,12,CHI,15.4,48.29,AirChina,743.666
2,13,CHI,7.7,18.92,AirChina,145.684
2,14,CHI,20.9,9.57,AirChina,200.013
2,15,CHI,11,36.96,AirChina,406.56
2,16,CHI,19.8,1.54,AirChina,30.492
2,17,CHI,2.2,23.87,AirChina,52.514
2,18,CHI,6.6,31.24,AirChina,206.184
2,19,CHI,22,16.39,AirChina,360.58
2,20,CHI,5.5,2.53,AirChina,13.915
2,1,FRA,20.9,48.84,AirFrance,1020.756
2,2,FRA,4.4,33.66,AirFrance,148.104
2,3,FRA,9.9,6.27,AirFrance,62.073
2,4,FRA,4.4,36.3,AirFrance,159.72
2,5,FRA,25.3,43.56,AirFrance,1102.068
2,6,FRA,8.8,45.76,AirFrance,402.688
2,7,FRA,17.6,16.72,AirFrance,294.272
2,8,FRA,0,13.64,AirFrance,0
2,9,FRA,2.2,20.57,AirFrance,45.254
2,10,FRA,22,26.84,AirFrance,590.48
2,11,FRA,13.2,22.88,AirFrance,302.016
2,12,FRA,13.2,19.58,AirFrance,258.456
2,13,FRA,12.1,1.98,AirFrance,23.958
2,14,FRA,27.5,11.88,AirFrance,326.7
2,15,FRA,18.7,13.64,AirFrance,255.068
2,17,FRA,14.3,29.26,AirFrance,418.418
2,18,FRA,2.2,30.03,AirFrance,66.066
2,19,FRA,24.2,19.25,AirFrance,465.85
2,20,FRA,25.3,24.64,AirFrance,623.392
2,21,FRA,2.2,14.08,AirFrance,30.976
2,1,JPO,16.5,38.72,AirJapan,638.88
2,2,JPO,23.1,20.13,AirJapan,465.003
2,3,JPO,23.1,43.12,AirJapan,996.072
2,4,JPO,12.1,24.2,AirJapan,292.82
2,5,JPO,20.9,5.83,AirJapan,121.847
2,6,JPO,4.4,12.98,AirJapan,57.112
2,7,JPO,11,30.14,AirJapan,331.54
2,8,JPO,19.8,34.54,AirJapan,683.892
2,9,JPO,12.1,27.94,AirJapan,338.074
2,10,JPO,6.6,21.45,AirJapan,141.57
2,11,JPO,5.5,38.17,AirJapan,209.935
2,12,JPO,6.6,41.14,AirJapan,271.524
2,13,JPO,7.7,35.31,AirJapan,271.887
2,14,JPO,19.8,24.75,AirJapan,490.05
2,15,JPO,5.5,5.17,AirJapan,28.435
2,16,JPO,9.9,46.86,AirJapan,463.914
2,17,JPO,25.3,3.52,AirJapan,89.056
2,18,JPO,3.3,38.17,AirJapan,125.961
2,19,JPO,3.3,29.26,AirJapan,96.558
2,20,JPO,7.7,31.79,AirJapan,244.783
2,1,MEX,3.3,4.29,AirMexico,14.157
2,2,MEX,11,21.67,AirMexico,238.37
2,3,MEX,5.5,34.98,AirMexico,192.39
2,4,MEX,8.8,47.19,AirMexico,415.272
2,5,MEX,7.7,33.77,AirMexico,260.029
2,6,MEX,1.1,21.56,AirMexico,23.716
2,7,MEX,6.6,42.68,AirMexico,281.688
2,8,MEX,4.4,49.06,AirMexico,215.864
2,9,MEX,8.8,11.22,AirMexico,98.736
2,10,MEX,5.5,21.56,AirMexico,118.58
2,11,MEX,6.6,30.03,AirMexico,198.198
2,12,MEX,2.2,33.55,AirMexico,73.81
2,13,MEX,3.3,18.15,AirMexico,59.895
2,14,MEX,2.2,44.33,AirMexico,97.526
2,15,MEX,2.2,20.68,AirMexico,45.496
2,18,MEX,9.9,36.52,AirMexico,361.548
2,19,MEX,2.2,31.79,AirMexico,69.938
2,20,MEX,3.3,1.76,AirMexico,5.808
2,21,MEX,6.6,34.1,AirMexico,225.06
2,1,ITA,22,40.59,Alitalia,892.98
2,2,ITA,1.1,43.89,Alitalia,48.279
2,3,ITA,25.3,9.79,Alitalia,247.687
2,4,ITA,7.7,44.22,Alitalia,340.494
2,5,ITA,3.3,35.86,Alitalia,118.338
2,6,ITA,7.7,44.99,Alitalia,346.423
2,7,ITA,20.9,35.31,Alitalia,737.979
2,8,ITA,23.1,7.92,Alitalia,182.952
2,9,ITA,5.5,38.39,Alitalia,211.145
2,10,ITA,24.2,10.45,Alitalia,252.89
2,11,ITA,19.8,0.88,Alitalia,17.424
2,12,ITA,16.5,41.25,Alitalia,680.625
2,13,ITA,20.9,6.16,Alitalia,128.744
2,14,ITA,26.4,25.08,Alitalia,662.112
2,15,ITA,19.8,15.51,Alitalia,307.098
2,16,ITA,29.7,15.62,Alitalia,463.914
2,18,ITA,22,5.28,Alitalia,116.16
2,19,ITA,2.2,49.28,Alitalia,108.416
2,20,ITA,4.4,32.56,Alitalia,143.264
2,21,ITA,8.8,8.47,Alitalia,74.536
2,1,USA,47.3,38.5,American,1821.05
2,2,USA,18.7,38.17,American,713.779
2,3,USA,28.6,29.48,American,843.128
2,4,USA,39.6,36.85,American,1459.26
2,5,USA,1.1,25.63,American,28.193
2,6,USA,22,20.35,American,447.7
2,7,USA,11,32.67,American,359.37
2,8,USA,28.6,17.71,American,506.506
2,9,USA,3.3,17.49,American,57.717
2,10,USA,34.1,7.04,American,240.064
2,11,USA,7.7,44,American,338.8
2,12,USA,25.3,48.84,American,1235.652
2,13,USA,1.1,9.46,American,10.406
2,14,USA,3.3,36.3,American,119.79
2,15,USA,19.8,36.96,American,731.808
2,16,USA,34.1,48.73,American,1661.693
2,17,USA,1.1,12.76,American,14.036
2,18,USA,36.3,4.07,American,147.741
2,19,USA,46.2,44.66,American,2063.292
2,20,USA,8.8,41.58,American,365.904
2,21,USA,31.9,34.98,American,1115.862
2,1,UK,17.6,12.65,BA,222.64
2,2,UK,5.5,26.18,BA,143.99
2,3,UK,12.1,39.38,BA,476.498
2,4,UK,6.6,37.95,BA,250.47
2,5,UK,9.9,24.42,BA,241.758
2,6,UK,19.8,13.64,BA,270.072
2,7,UK,20.9,47.41,BA,990.869
2,8,UK,11,0.33,BA,3.63
2,9,UK,12.1,8.25,BA,99.825
2,10,UK,5.5,1.87,BA,10.285
2,11,UK,23.1,1.76,BA,40.656
2,12,UK,14.3,35.97,BA,514.371
2,13,UK,18.7,2.31,BA,43.197
2,14,UK,15.4,40.26,BA,620.004
2,15,UK,5.5,32.78,BA,180.29
2,17,UK,27.5,34.87,BA,958.925
2,18,UK,15.4,6.93,BA,106.722
2,19,UK,7.7,37.73,BA,290.521
2,20,UK,25.3,13.31,BA,336.743
2,21,UK,22,30.14,BA,663.08
2,1,DUB,8.8,11.55,EmiratesAirlines,101.64
2,2,DUB,7.7,47.19,EmiratesAirlines,363.363
2,3,DUB,22,32.56,EmiratesAirlines,716.32
2,4,DUB,16.5,23.32,EmiratesAirlines,384.78
2,5,DUB,6.6,33.44,EmiratesAirlines,220.704
2,6,DUB,5.5,42.79,EmiratesAirlines,235.345
2,7,DUB,25.3,7.81,EmiratesAirlines,197.593
2,8,DUB,24.2,6.05,EmiratesAirlines,146.41
2,9,DUB,14.3,31.13,EmiratesAirlines,445.159
2,10,DUB,14.3,37.18,EmiratesAirlines,531.674
2,11,DUB,12.1,19.36,EmiratesAirlines,234.256
2,12,DUB,4.4,35.2,EmiratesAirlines,154.88
2,13,DUB,18.7,22.66,EmiratesAirlines,423.742
2,14,DUB,27.5,40.92,EmiratesAirlines,1125.3
2,15,DUB,12.1,15.07,EmiratesAirlines,182.347
2,16,DUB,1.1,38.61,EmiratesAirlines,42.471
2,17,DUB,25.3,6.93,EmiratesAirlines,175.329
2,18,DUB,2.2,7.81,EmiratesAirlines,17.182
2,19,DUB,14.3,42.9,EmiratesAirlines,613.47
2,20,DUB,9.9,3.85,EmiratesAirlines,38.115
2,21,DUB,15.4,28.16,EmiratesAirlines,433.664
2,1,HEL,20.9,38.28,SwissAir,800.052
2,2,HEL,20.9,40.26,SwissAir,841.434
2,3,HEL,9.9,21.34,SwissAir,211.266
2,4,HEL,1.1,19.91,SwissAir,21.901
2,5,HEL,8.8,7.92,SwissAir,69.696
2,6,HEL,1.1,41.14,SwissAir,45.254
2,7,HEL,15.4,40.7,SwissAir,626.78
2,8,HEL,13.2,45.54,SwissAir,601.128
2,9,HEL,3.3,48.73,SwissAir,160.809
2,10,HEL,22,42.68,SwissAir,938.96
2,11,HEL,11,34.43,SwissAir,378.73
2,12,HEL,22,19.47,SwissAir,428.34
2,13,HEL,13.2,8.47,SwissAir,111.804
2,14,HEL,16.5,11.55,SwissAir,190.575
2,15,HEL,20.9,42.35,SwissAir,885.115
2,16,HEL,16.5,11.99,SwissAir,197.835
2,17,HEL,3.3,19.25,SwissAir,63.525
2,18,HEL,14.3,8.25,SwissAir,117.975
2,19,HEL,12.1,31.02,SwissAir,375.342
2,20,HEL,0,13.42,SwissAir,0
2,21,HEL,9.9,0.66,SwissAir,6.534
2,1,SAL,1.1,33.11,TACA,36.421
2,2,SAL,4.4,18.81,TACA,82.764
2,3,SAL,2.2,8.25,TACA,18.15
2,4,SAL,2.2,14.85,TACA,32.67
2,5,SAL,1.1,32.12,TACA,35.332
2,6,SAL,0,43.01,TACA,0
2,7,SAL,3.3,0.11,TACA,0.363
2,8,SAL,4.4,46.86,TACA,206.184
2,9,SAL,0,35.64,TACA,0
2,10,SAL,0,28.16,TACA,0
2,11,SAL,3.3,28.71,TACA,94.743
2,12,SAL,2.2,43.34,TACA,95.348
2,13,SAL,0,32.89,TACA,0
2,14,SAL,2.2,8.14,TACA,17.908
2,15,SAL,2.2,37.07,TACA,81.554
2,16,SAL,3.3,14.74,TACA,48.642
2,17,SAL,3.3,45.54,TACA,150.282
2,18,SAL,3.3,15.4,TACA,50.82
2,19,SAL,0,15.84,TACA,0
2,20,SAL,2.2,1.76,TACA,3.872
2,21,SAL,4.4,40.37,TACA,177.628
2,1,UK,22,48.51,VirginAtlantic,1067.22
2,2,UK,2.2,12.21,VirginAtlantic,26.862
2,3,UK,25.3,33.88,VirginAtlantic,857.164
2,4,UK,20.9,26.07,VirginAtlantic,544.863
2,5,UK,3.3,17.93,VirginAtlantic,59.169
2,6,UK,2.2,46.86,VirginAtlantic,103.092
2,7,UK,15.4,33.22,VirginAtlantic,511.588
2,8,UK,19.8,16.5,VirginAtlantic,326.7
2,9,UK,2.2,21.78,VirginAtlantic,47.916
2,10,UK,20.9,10.01,VirginAtlantic,209.209
2,11,UK,5.5,13.31,VirginAtlantic,73.205
2,12,UK,14.3,18.26,VirginAtlantic,261.118
2,13,UK,19.8,24.75,VirginAtlantic,490.05
2,14,UK,15.4,20.9,VirginAtlantic,321.86
2,15,UK,25.3,13.75,VirginAtlantic,347.875
2,16,UK,3.3,5.17,VirginAtlantic,17.061
2,18,UK,17.6,1.32,VirginAtlantic,23.232
2,19,UK,8.8,44.11,VirginAtlantic,388.168
2,20,UK,4.4,28.49,VirginAtlantic,125.356
2,21,UK,17.6,44.99,VirginAtlantic,791.824
3,1,CHI,10.89,49.368,AirChina,537.61752
3,2,CHI,19.36,50.699,AirChina,981.53264
3,3,CHI,10.89,7.865,AirChina,85.64985
3,4,CHI,6.05,15.004,AirChina,90.7742
3,5,CHI,2.42,45.254,AirChina,109.51468
3,6,CHI,9.68,2.299,AirChina,22.25432
3,9,CHI,14.52,17.424,AirChina,252.99648
3,10,CHI,26.62,53.966,AirChina,1436.57492
3,11,CHI,9.68,47.795,AirChina,462.6556
3,12,CHI,16.94,53.119,AirChina,899.83586
3,13,CHI,8.47,20.812,AirChina,176.27764
3,14,CHI,22.99,10.527,AirChina,242.01573
3,15,CHI,12.1,40.656,AirChina,491.9376
3,16,CHI,21.78,1.694,AirChina,36.89532
3,17,CHI,2.42,26.257,AirChina,63.54194
3,18,CHI,7.26,34.364,AirChina,249.48264
3,19,CHI,24.2,18.029,AirChina,436.3018
3,20,CHI,6.05,2.783,AirChina,16.83715
3,1,FRA,22.99,53.724,AirFrance,1235.11476
3,2,FRA,4.84,37.026,AirFrance,179.20584
3,3,FRA,10.89,6.897,AirFrance,75.10833
3,4,FRA,4.84,39.93,AirFrance,193.2612
3,5,FRA,27.83,47.916,AirFrance,1333.50228
3,6,FRA,9.68,50.336,AirFrance,487.25248
3,7,FRA,19.36,18.392,AirFrance,356.06912
3,8,FRA,0,15.004,AirFrance,0
3,9,FRA,2.42,22.627,AirFrance,54.75734
3,10,FRA,24.2,29.524,AirFrance,714.4808
3,11,FRA,14.52,25.168,AirFrance,365.43936
3,12,FRA,14.52,21.538,AirFrance,312.73176
3,13,FRA,13.31,2.178,AirFrance,28.98918
3,14,FRA,30.25,13.068,AirFrance,395.307
3,15,FRA,20.57,15.004,AirFrance,308.63228
3,17,FRA,15.73,32.186,AirFrance,506.28578
3,18,FRA,2.42,33.033,AirFrance,79.93986
3,19,FRA,26.62,21.175,AirFrance,563.6785
3,20,FRA,27.83,27.104,AirFrance,754.30432
3,21,FRA,2.42,15.488,AirFrance,37.48096
3,1,JPO,18.15,42.592,AirJapan,773.0448
3,2,JPO,25.41,22.143,AirJapan,562.65363
3,3,JPO,25.41,47.432,AirJapan,1205.24712
3,4,JPO,13.31,26.62,AirJapan,354.3122
3,5,JPO,22.99,6.413,AirJapan,147.43487
3,6,JPO,4.84,14.278,AirJapan,69.10552
3,7,JPO,12.1,33.154,AirJapan,401.1634
3,8,JPO,21.78,37.994,AirJapan,827.50932
3,9,JPO,13.31,30.734,AirJapan,409.06954
3,10,JPO,7.26,23.595,AirJapan,171.2997
3,11,JPO,6.05,41.987,AirJapan,254.02135
3,12,JPO,7.26,45.254,AirJapan,328.54404
3,13,JPO,8.47,38.841,AirJapan,328.98327
3,14,JPO,21.78,27.225,AirJapan,592.9605
3,15,JPO,6.05,5.687,AirJapan,34.40635
3,16,JPO,10.89,51.546,AirJapan,561.33594
3,17,JPO,27.83,3.872,AirJapan,107.75776
3,18,JPO,3.63,41.987,AirJapan,152.41281
3,19,JPO,3.63,32.186,AirJapan,116.83518
3,20,JPO,8.47,34.969,AirJapan,296.18743
3,1,MEX,3.63,4.719,AirMexico,17.12997
3,2,MEX,12.1,23.837,AirMexico,288.4277
3,3,MEX,6.05,38.478,AirMexico,232.7919
3,4,MEX,9.68,51.909,AirMexico,502.47912
3,5,MEX,8.47,37.147,AirMexico,314.63509
3,6,MEX,1.21,23.716,AirMexico,28.69636
3,7,MEX,7.26,46.948,AirMexico,340.84248
3,8,MEX,4.84,53.966,AirMexico,261.19544
3,9,MEX,9.68,12.342,AirMexico,119.47056
3,10,MEX,6.05,23.716,AirMexico,143.4818
3,11,MEX,7.26,33.033,AirMexico,239.81958
3,12,MEX,2.42,36.905,AirMexico,89.3101
3,13,MEX,3.63,19.965,AirMexico,72.47295
3,14,MEX,2.42,48.763,AirMexico,118.00646
3,15,MEX,2.42,22.748,AirMexico,55.05016
3,18,MEX,10.89,40.172,AirMexico,437.47308
3,19,MEX,2.42,34.969,AirMexico,84.62498
3,20,MEX,3.63,1.936,AirMexico,7.02768
3,21,MEX,7.26,37.51,AirMexico,272.3226
3,1,ITA,24.2,44.649,Alitalia,1080.5058
3,2,ITA,1.21,48.279,Alitalia,58.41759
3,3,ITA,27.83,10.769,Alitalia,299.70127
3,4,ITA,8.47,48.642,Alitalia,411.99774
3,5,ITA,3.63,39.446,Alitalia,143.18898
3,6,ITA,8.47,49.489,Alitalia,419.17183
3,7,ITA,22.99,38.841,Alitalia,892.95459
3,8,ITA,25.41,8.712,Alitalia,221.37192
3,9,ITA,6.05,42.229,Alitalia,255.48545
3,10,ITA,26.62,11.495,Alitalia,305.9969
3,11,ITA,21.78,0.968,Alitalia,21.08304
3,12,ITA,18.15,45.375,Alitalia,823.55625
3,13,ITA,22.99,6.776,Alitalia,155.78024
3,14,ITA,29.04,27.588,Alitalia,801.15552
3,15,ITA,21.78,17.061,Alitalia,371.58858
3,16,ITA,32.67,17.182,Alitalia,561.33594
3,18,ITA,24.2,5.808,Alitalia,140.5536
3,19,ITA,2.42,54.208,Alitalia,131.18336
3,20,ITA,4.84,35.816,Alitalia,173.34944
3,21,ITA,9.68,9.317,Alitalia,90.18856
3,1,USA,52.03,42.35,American,2203.4705
3,2,USA,20.57,41.987,American,863.67259
3,3,USA,31.46,32.428,American,1020.18488
3,4,USA,43.56,40.535,American,1765.7046
3,5,USA,1.21,28.193,American,34.11353
3,6,USA,24.2,22.385,American,541.717
3,7,USA,12.1,35.937,American,434.8377
3,8,USA,31.46,19.481,American,612.87226
3,9,USA,3.63,19.239,American,69.83757
3,10,USA,37.51,7.744,American,290.47744
3,11,USA,8.47,48.4,American,409.948
3,12,USA,27.83,53.724,American,1495.13892
3,13,USA,1.21,10.406,American,12.59126
3,14,USA,3.63,39.93,American,144.9459
3,15,USA,21.78,40.656,American,885.48768
3,16,USA,37.51,53.603,American,2010.64853
3,17,USA,1.21,14.036,American,16.98356
3,18,USA,39.93,4.477,American,178.76661
3,19,USA,50.82,49.126,American,2496.58332
3,20,USA,9.68,45.738,American,442.74384
3,21,USA,35.09,38.478,American,1350.19302
3,1,UK,19.36,13.915,BA,269.3944
3,2,UK,6.05,28.798,BA,174.2279
3,3,UK,13.31,43.318,BA,576.56258
3,4,UK,7.26,41.745,BA,303.0687
3,5,UK,10.89,26.862,BA,292.52718
3,6,UK,21.78,15.004,BA,326.78712
3,7,UK,22.99,52.151,BA,1198.95149
3,8,UK,12.1,0.363,BA,4.3923
3,9,UK,13.31,9.075,BA,120.78825
3,10,UK,6.05,2.057,BA,12.44485
3,11,UK,25.41,1.936,BA,49.19376
