BPA,CostCenter,Account,cost
ITDemand,Sales-05,700002,1053698.5524235829
ITDemand,Sales-05,700003,329271.82727452513
ITDemand,TAX-01,700000,1644937.6376336173
ITDemand,TAX-01,700001,1223596.0371790428
ITDemand,TAX-01,700002,1096450.424522473
ITDemand,TAX-01,700003,993317.8664359719
payroll,IS-01,100000,1.6354599720630627E7
payroll,IS-01,100001,4253129.778235777
payroll,IS-01,200000,1.3907286073475868E7
payroll,IS-01,400000,223974.77666588093
payroll,IS-01,400001,88998.90451014298
payroll,IS-01,500000,7642180.314136129
payroll,IS-01,600000,4323472.361470532
payroll,IS-01,600001,4862027.620227863
payroll,IS-01,600002,5967647.507688631
payroll,IS-01,700000,1451627.939030934
payroll,IS-01,700001,2000580.202082142
payroll,IS-01,700002,1299717.5608666618
payroll,IS-01,700003,1122495.0491426236
payroll,IS-01,800000,1525936.77574624
payroll,IS-01,800001,809591.3218685269
payroll,IS-01,800002,1367650.4876021943
sales,ACC-01,100000,4308608.211777385
sales,ACC-01,100001,1121658.8151201217
sales,ACC-01,200000,1.3349549220336026E7
sales,ACC-01,400000,50925.08774275099
sales,ACC-01,400001,57389.843153688
sales,ACC-01,500000,7656553.340213848
sales,ACC-01,600000,6618296.562275977
sales,ACC-01,600001,7689015.684752587
sales,ACC-01,600002,7800913.560385079
sales,ACC-01,800000,1231493.9553467128
sales,ACC-01,800001,1084311.653543028
sales,ACC-01,800002,1374764.437761087
sales,Exec-Office-01,100000,1.0857457291682558E7
sales,Exec-Office-01,100001,2823677.8441127115
sales,Exec-Office-01,200000,1.794052544531462E7
sales,Exec-Office-01,400000,128489.11960602102
sales,Exec-Office-01,400001,64287.55208027301
sales,Exec-Office-01,500000,6910614.14974795
sales,Exec-Office-01,600000,7027952.438937431
sales,Exec-Office-01,600001,5265793.327314983
sales,Exec-Office-01,600002,7970867.942090603
sales,Exec-Office-01,700000,893013.3861109319
sales,Exec-Office-01,700001,1652597.7309447618
sales,Exec-Office-01,700002,1827663.0808109418
sales,Exec-Office-01,700003,1454098.0118948258
sales,Exec-Office-01,800000,1455942.1360767363
sales,Exec-Office-01,800001,1323113.3094974493
sales,Exec-Office-01,800002,803407.864266316
sales,FIN-01,100000,1.2429042109924082E7
sales,FIN-01,100001,3232047.598021594
sales,FIN-01,200000,1.0538755429769035E7
sales,FIN-01,400000,131611.350110214
sales,FIN-01,400001,96970.89480764
sales,FIN-01,500000,5555325.859366139
sales,FIN-01,600000,6651277.389466883
sales,FIN-01,600001,2905463.7196497703
sales,FIN-01,600002,5168567.76273679
sales,FIN-01,800000,778493.0284536771
sales,FIN-01,800001,1004862.2783757133
sales,FIN-01,800002,1208276.907759258
sales,LEG-01,100000,1.4251313994309025E7
sales,LEG-01,100001,3705592.8280347446
sales,LEG-01,200000,1.621105069010972E7
sales,LEG-01,400000,80786.38020372001
sales,LEG-01,400001,101287.91188187101
sales,LEG-01,500000,5175479.49650745
sales,LEG-01,600000,2084883.758988526
sales,LEG-01,600001,3421751.559886396
sales,LEG-01,600002,8025466.110021859
sales,LEG-01,800000,962118.1994212001
sales,LEG-01,800001,724580.7365859321
sales,LEG-01,800002,1634367.3044141452
sales,Marketing-01,100000,6559372.97967337
sales,Marketing-01,100001,1707933.1264536264
sales,Marketing-01,200000,1.269706452427734E7
sales,Marketing-01,400000,97448.92213874498
sales,Marketing-01,400001,102786.864062972
sales,Marketing-01,500000,3438055.5599630303
sales,Marketing-01,600000,3510919.710551523
sales,Marketing-01,600001,3841914.6298264633
sales,Marketing-01,600002,3995642.463699441
sales,Marketing-01,800000,1243467.852466658
sales,Marketing-01,800001,678323.826355582
sales,Marketing-01,800002,915605.7504019741
sales,Marketing-02,100000,1.5391490187544003E7
sales,Marketing-02,100001,4004896.9133371054
sales,Marketing-02,200000,1.0180577437375318E7
sales,Marketing-02,400000,40118.13699336301
sales,Marketing-02,400001,106681.67732158401
sales,Marketing-02,500000,7137947.9763947325
sales,Marketing-02,600000,3257547.915564371
sales,Marketing-02,600001,2648857.2793770875
sales,Marketing-02,600002,4126720.030263719
sales,Marketing-02,800000,529624.11613464
sales,Marketing-02,800001,615629.9517339991
sales,Marketing-02,800002,1346932.7199411846
sales,Marketing-03,100000,4486158.252554457
sales,Marketing-03,100001,1166997.0802592481
sales,Marketing-03,200000,1.0308284556070896E7
sales,Marketing-03,400000,133491.80118522502
sales,Marketing-03,400001,75102.61864759501
sales,Marketing-03,500000,5983747.17874479
sales,Marketing-03,600000,4973788.32017296
sales,Marketing-03,600001,6240643.357490094
sales,Marketing-03,600002,1756881.3199338908
sales,Marketing-03,800000,1076239.0904020823
sales,Marketing-03,800001,586280.674471333
sales,Marketing-03,800002,805641.8285016881
sales,R&D-04,100000,1.0116420278414689E7
sales,R&D-04,100001,2631307.3143078806
sales,R&D-04,200000,1.253714708469093E7
sales,R&D-04,400000,98574.77733895097
sales,R&D-04,400001,143605.047639909
sales,R&D-04,500000,5046545.304865479
sales,R&D-04,600000,6628495.776462429
sales,R&D-04,600001,6181795.944023671
sales,R&D-04,600002,8204489.582046543
sales,R&D-04,800000,852207.0317659
sales,R&D-04,800001,1075589.4690395952
sales,R&D-04,800002,909326.673905149
sales,Sales-01,100000,9199677.95062529
sales,Sales-01,100001,2392744.919064285
sales,Sales-01,200000,8011424.805194202
sales,Sales-01,400000,73009.028662415
sales,Sales-01,400001,70771.562933694
sales,Sales-01,500000,2691430.492508372
sales,Sales-01,600000,3337619.645861439
sales,Sales-01,600001,4355262.387642789
sales,Sales-01,600002,4651471.9150469
sales,Sales-02,100000,7171414.0936391875
sales,Sales-02,100001,1865333.6890492593
sales,Sales-02,200000,9111248.51023637
sales,Sales-02,400000,44859.008037982996
sales,Sales-02,400001,64264.013932534006
sales,Sales-02,500000,2659394.372103405
sales,Sales-02,600000,2002171.6343064439
sales,Sales-02,600001,3810811.2099243584
sales,Sales-02,600002,2018875.715311651
sales,Sales-02,700000,676907.484180349
sales,Sales-02,700001,931498.6786851379
sales,Sales-02,700002,272103.94279136695
sales,Sales-02,700003,287408.453642115
sales,Sales-02,800000,967195.0138091088
sales,Sales-02,800001,1279855.3465024098
sales,Sales-02,800002,328041.71920381
sales,Sales-03,100000,5069650.077104038
sales,Sales-03,100001,1320389.2084559996
sales,Sales-03,200000,9453720.96844937
sales,Sales-03,400000,110567.16549039997
sales,Sales-03,400001,58410.33240830501
sales,Sales-03,500000,6094941.7890385175
sales,Sales-03,600000,1918182.981480796
sales,Sales-03,600001,3864363.976176516
sales,Sales-03,600002,5258934.254933779
sales,Sales-03,700000,624553.196933412
sales,Sales-03,700001,1094279.957950739
sales,Sales-03,700002,1029014.392895136
sales,Sales-03,700003,918326.3307835672
sales,Sales-03,800000,1179804.403545927
sales,Sales-03,800001,657463.118205201
sales,Sales-03,800002,806926.2507362472
sales,Sales-04,100000,9255275.576613992
sales,Sales-04,100001,2407950.4222724503
sales,Sales-04,200000,7892671.374549554
sales,Sales-04,400000,91311.267882368
sales,Sales-04,400001,107887.27719019102
sales,Sales-04,500000,3989052.8379138117
sales,Sales-04,600000,4092747.836662149
sales,Sales-04,600001,4918904.514133213
sales,Sales-04,600002,4676901.0286755245
sales,Sales-05,100000,1.381463395418227E7
sales,Sales-05,100001,3592676.006091315
sales,Sales-05,200000,1.1678828053719698E7
sales,Sales-05,400000,81382.48245004
sales,Sales-05,400001,63542.75101124799
sales,Sales-05,500000,2907168.2602714403
sales,Sales-05,600000,3847401.777315423
sales,Sales-05,600001,2902456.4115200206
sales,Sales-05,600002,4314650.379108557
sales,Sales-05,800000,1443156.6337203544
sales,Sales-05,800001,1034305.4306988831
sales,Sales-05,800002,442026.080510685
sales,TAX-01,100000,1.6063776992651729E7
sales,TAX-01,100001,4176955.3812207426
sales,TAX-01,200000,1.2643470302168272E7
sales,TAX-01,400000,188975.11195859595
sales,TAX-01,400001,108173.10007626704
sales,TAX-01,500000,3966482.5220703837
sales,TAX-01,600000,2556371.1660033343
sales,TAX-01,600001,4076453.369655448
sales,TAX-01,600002,3811876.678957181
sales,TAX-01,800000,1464859.4087126018
sales,TAX-01,800001,1562341.6155479704
sales,TAX-01,800002,1397169.7063985562
