CostCenter_Name,Account_Name,cost,BPA
Marketing-PR,IT-Application-On-Premise,3731.93,ITDemand.csv
Marketing-PR,IT-Application-Subscription,7696.47,ITDemand.csv
Marketing-PR,IT-Infrastructure,6533.03,ITDemand.csv
Marketing-PR,IT-Consultant-System Implementation,865.86,ITDemand.csv
Marketing-PR,Facilities-Offices,2378.9,sales.csv
Marketing-PR,Facilities-Supplies,1106.42,sales.csv
Marketing-PR,Facilities-Supplies,3180.86,sales.csv
Product-Management,Salary,32725.62,implementation.csv
Product-Management,Benefits,8508.66,implementation.csv
Product-Management,Contractors,21572.79,implementation.csv
Product-Management,Travel-Trips,535.43,implementation.csv
Product-Management,Travel-Hotels,69.91,implementation.csv
Product-Management,Professional-Services-Consultants,39643.41,implementation.csv
Product-Management,Legal-Consultants,19222.71,implementation.csv
Product-Management,Legal-Corporate Fees,44237.59,implementation.csv
Product-Management,Legal-Employment Fees,32809.54,implementation.csv
Product-Management,IT-Application-On-Premise,4112.86,ITDemand.csv
Product-Management,IT-Application-Subscription,1361.91,ITDemand.csv
Product-Management,IT-Infrastructure,4888.45,ITDemand.csv
Product-Management,IT-Consultant-System Implementation,367.53,ITDemand.csv
Product-Management,Facilities-Offices,4911.75,implementation.csv
Product-Management,Facilities-Supplies,2240.54,implementation.csv
Product-Management,Facilities-Supplies,3292.86,implementation.csv
PS,Salary,24564.81,implementation.csv
PS,Benefits,6386.85,implementation.csv
PS,Contractors,68171.78,implementation.csv
PS,Travel-Trips,484.24,implementation.csv
PS,Travel-Hotels,444.79,implementation.csv
PS,Professional-Services-Consultants,6638.53,implementation.csv
PS,Legal-Consultants,44868.7,implementation.csv
PS,Legal-Corporate Fees,18619.19,implementation.csv
PS,Legal-Employment Fees,29844.31,implementation.csv
PS,IT-Application-On-Premise,3246.57,implementation.csv
PS,IT-Application-Subscription,2503.73,implementation.csv
PS,IT-Infrastructure,4739.36,implementation.csv
PS,IT-Consultant-System Implementation,7814.77,implementation.csv
PS,Facilities-Offices,1832.77,implementation.csv
PS,Facilities-Supplies,2522.58,implementation.csv
PS,Facilities-Supplies,305.09,implementation.csv
R&D-Infrastructure Developmet,Salary,20068.43,implementation.csv
R&D-Infrastructure Developmet,Benefits,5217.79,implementation.csv
R&D-Infrastructure Developmet,Contractors,82796.41,implementation.csv
R&D-Infrastructure Developmet,Travel-Trips,763.64,implementation.csv
R&D-Infrastructure Developmet,Travel-Hotels,889.5,implementation.csv
R&D-Infrastructure Developmet,Professional-Services-Consultants,5515.99,implementation.csv
R&D-Infrastructure Developmet,Legal-Consultants,19975.83,implementation.csv
R&D-Infrastructure Developmet,Legal-Corporate Fees,25462.77,implementation.csv
R&D-Infrastructure Developmet,Legal-Employment Fees,19057.1,implementation.csv
R&D-Infrastructure Developmet,IT-Application-On-Premise,7430.79,ITDemand.csv
R&D-Infrastructure Developmet,IT-Application-Subscription,7325.61,ITDemand.csv
R&D-Infrastructure Developmet,IT-Infrastructure,5901.69,ITDemand.csv
R&D-Infrastructure Developmet,IT-Consultant-System Implementation,6817.74,ITDemand.csv
R&D-Infrastructure Developmet,Facilities-Offices,4982.6,implementation.csv
R&D-Infrastructure Developmet,Facilities-Supplies,4584.94,implementation.csv
R&D-Infrastructure Developmet,Facilities-Supplies,2888.85,implementation.csv
R&D-Applications Development,Salary,6054.12,implementation.csv
R&D-Applications Development,Benefits,1574.07,implementation.csv
R&D-Applications Development,Contractors,38183.67,implementation.csv
R&D-Applications Development,Travel-Trips,188.91,implementation.csv
R&D-Applications Development,Travel-Hotels,970.64,implementation.csv
R&D-Applications Development,Professional-Services-Consultants,36741.69,implementation.csv
R&D-Applications Development,Legal-Consultants,15121.98,implementation.csv
R&D-Applications Development,Legal-Corporate Fees,1649.21,implementation.csv
R&D-Applications Development,Legal-Employment Fees,29245.95,implementation.csv
R&D-Applications Development,IT-Application-On-Premise,1077.61,ITDemand.csv
R&D-Applications Development,IT-Application-Subscription,9529.04,ITDemand.csv
R&D-Applications Development,IT-Infrastructure,8744.52,ITDemand.csv
R&D-Applications Development,IT-Consultant-System Implementation,2068.88,ITDemand.csv
R&D-Applications Development,Facilities-Offices,8042.38,implementation.csv
R&D-Applications Development,Facilities-Supplies,8718.92,implementation.csv
R&D-Applications Development,Facilities-Supplies,222.63,implementation.csv
R&D-Research,Salary,98362.11,implementation.csv
R&D-Research,Benefits,25574.15,implementation.csv
R&D-Research,Contractors,56125.15,implementation.csv
R&D-Research,Travel-Trips,235.83,implementation.csv
R&D-Research,Travel-Hotels,474.84,implementation.csv
R&D-Research,Professional-Services-Consultants,38076.97,implementation.csv
R&D-Research,Legal-Consultants,10178.77,implementation.csv
R&D-Research,Legal-Corporate Fees,30480.77,implementation.csv
R&D-Research,Legal-Employment Fees,34127.02,implementation.csv
R&D-Research,IT-Application-On-Premise,9709.23,ITDemand.csv
R&D-Research,IT-Application-Subscription,1046.56,ITDemand.csv
R&D-Research,IT-Infrastructure,8456.49,ITDemand.csv
R&D-Research,IT-Consultant-System Implementation,9180.79,ITDemand.csv
R&D-Research,Facilities-Offices,8772.96,implementation.csv
R&D-Research,Facilities-Supplies,7129.96,implementation.csv
R&D-Research,Facilities-Supplies,571.17,implementation.csv
R&D-Parternerships,Salary,95921.78,sales.csv
R&D-Parternerships,Benefits,24939.66,sales.csv
R&D-Parternerships,Contractors,93691.06,sales.csv
R&D-Parternerships,Travel-Trips,415.12,sales.csv
R&D-Parternerships,Travel-Hotels,208.58,sales.csv
R&D-Parternerships,Professional-Services-Consultants,1811.66,sales.csv
R&D-Parternerships,Legal-Consultants,38897.79,sales.csv
R&D-Parternerships,Legal-Corporate Fees,30065.66,sales.csv
R&D-Parternerships,Legal-Employment Fees,27289.48,sales.csv
R&D-Parternerships,IT-Application-On-Premise,4141.88,ITDemand.csv
R&D-Parternerships,IT-Application-Subscription,7561.14,ITDemand.csv
R&D-Parternerships,IT-Infrastructure,9564.31,ITDemand.csv
R&D-Parternerships,IT-Consultant-System Implementation,6520.08,ITDemand.csv
R&D-Parternerships,Facilities-Offices,2290.03,sales.csv
R&D-Parternerships,Facilities-Supplies,6236.79,sales.csv
R&D-Parternerships,Facilities-Supplies,2924.79,sales.csv
Sales-Direct,Salary,74267.8,sales.csv
Sales-Direct,Benefits,19309.63,sales.csv
Sales-Direct,Contractors,335.54,sales.csv
Sales-Direct,Travel-Trips,570.67,sales.csv
Sales-Direct,Travel-Hotels,295.45,sales.csv
Sales-Direct,Professional-Services-Consultants,19748.52,sales.csv
Sales-Direct,Legal-Consultants,12573.3,sales.csv
Sales-Direct,Legal-Corporate Fees,16465.36,sales.csv
Sales-Direct,Legal-Employment Fees,3385.77,sales.csv
Sales-Direct,IT-Application-On-Premise,9894.1,ITDemand.csv
Sales-Direct,IT-Application-Subscription,7959.04,ITDemand.csv
Sales-Direct,IT-Infrastructure,4073.92,ITDemand.csv
Sales-Direct,IT-Consultant-System Implementation,8740.29,ITDemand.csv
Sales-Direct,Facilities-Offices,805.75,phones.csv
Sales-Direct,Facilities-Supplies,5678.09,phones.csv
Sales-Direct,Facilities-Supplies,1198.07,phones.csv
Sales-Partners,Salary,89337.22,sales.csv
Sales-Partners,Benefits,23227.68,sales.csv
Sales-Partners,Contractors,10951.54,sales.csv
Sales-Partners,Travel-Trips,173.87,sales.csv
Sales-Partners,Travel-Hotels,114.18,sales.csv
Sales-Partners,Professional-Services-Consultants,28282.68,sales.csv
Sales-Partners,Legal-Consultants,29262.9,sales.csv
Sales-Partners,Legal-Corporate Fees,22591.69,sales.csv
Sales-Partners,Legal-Employment Fees,19281.45,sales.csv
Sales-Partners,IT-Application-On-Premise,7571.1,sales.csv
Sales-Partners,IT-Application-Subscription,2770.68,sales.csv
Sales-Partners,IT-Infrastructure,6461.51,sales.csv
Sales-Partners,IT-Consultant-System Implementation,5745.08,sales.csv
Sales-Partners,Facilities-Offices,9641.25,sales.csv
Sales-Partners,Facilities-Supplies,8720.86,sales.csv
Sales-Partners,Facilities-Supplies,2560.3,sales.csv
Sales-Online,Salary,45430.71,sales.csv
Sales-Online,Benefits,11811.98,sales.csv
Sales-Online,Contractors,58784.03,sales.csv
Sales-Online,Travel-Trips,182.96,sales.csv
Sales-Online,Travel-Hotels,467.41,sales.csv
Sales-Online,Professional-Services-Consultants,13718.75,sales.csv
Sales-Online,Legal-Consultants,12806.54,sales.csv
Sales-Online,Legal-Corporate Fees,15729.53,sales.csv
Sales-Online,Legal-Employment Fees,22214.01,sales.csv
Sales-Online,IT-Application-On-Premise,3916.82,sales.csv
Sales-Online,IT-Application-Subscription,1959.93,sales.csv
Sales-Online,IT-Infrastructure,9396.54,sales.csv
Sales-Online,IT-Consultant-System Implementation,693.99,sales.csv
Sales-Online,Facilities-Offices,3038.29,sales.csv
Sales-Online,Facilities-Supplies,9858.48,sales.csv
Sales-Online,Facilities-Supplies,8011.91,sales.csv
Sales-Ops,Salary,52548.83,sales.csv
Sales-Ops,Benefits,13662.7,sales.csv
Sales-Ops,Contractors,66651.17,sales.csv
Sales-Ops,Travel-Trips,171.55,sales.csv
Sales-Ops,Travel-Hotels,91.62,sales.csv
Sales-Ops,Professional-Services-Consultants,6459.66,sales.csv
Sales-Ops,Legal-Consultants,21555.64,sales.csv
Sales-Ops,Legal-Corporate Fees,40209.4,sales.csv
Sales-Ops,Legal-Employment Fees,30711.66,sales.csv
Sales-Ops,IT-Application-On-Premise,7389.78,ITDemand.csv
Sales-Ops,IT-Application-Subscription,4191.11,ITDemand.csv
Sales-Ops,IT-Infrastructure,9407.05,ITDemand.csv
Sales-Ops,IT-Consultant-System Implementation,6056.37,ITDemand.csv
Sales-Ops,Facilities-Offices,5005.74,phones.csv
Sales-Ops,Facilities-Supplies,7699.19,phones.csv
Sales-Ops,Facilities-Supplies,115.46,phones.csv
Sales-Exec,Salary,15517.96,sales.csv
Sales-Exec,Benefits,4034.67,sales.csv
Sales-Exec,Contractors,33553.76,sales.csv
Sales-Exec,Travel-Trips,880.59,sales.csv
Sales-Exec,Travel-Hotels,801.38,sales.csv
Sales-Exec,Professional-Services-Consultants,20989.61,sales.csv
Sales-Exec,Legal-Consultants,111.19,sales.csv
Sales-Exec,Legal-Corporate Fees,22576.67,sales.csv
Sales-Exec,Legal-Employment Fees,13913.57,sales.csv
Sales-Exec,IT-Application-On-Premise,801.32,ITDemand.csv
Sales-Exec,IT-Application-Subscription,7498.18,ITDemand.csv
Sales-Exec,IT-Infrastructure,5893.79,ITDemand.csv
Sales-Exec,IT-Consultant-System Implementation,4991.7,ITDemand.csv
Sales-Exec,Facilities-Offices,6823.21,sales.csv
Sales-Exec,Facilities-Supplies,8831.45,sales.csv
Sales-Exec,Facilities-Supplies,8283.36,sales.csv
Tax,Salary,20772.76,sales.csv
Tax,Benefits,5400.92,sales.csv
Tax,Contractors,62961.8,sales.csv
Tax,Travel-Trips,581.52,sales.csv
Tax,Travel-Hotels,825.6,sales.csv
Tax,Professional-Services-Consultants,17220.3,sales.csv
Tax,Legal-Consultants,5292.66,sales.csv
Tax,Legal-Corporate Fees,16670.13,sales.csv
Tax,Legal-Employment Fees,37100.27,sales.csv
Tax,IT-Application-On-Premise,8932.43,ITDemand.csv
Tax,IT-Application-Subscription,4352.52,ITDemand.csv
Tax,IT-Infrastructure,7309.42,ITDemand.csv
Tax,IT-Consultant-System Implementation,6616.51,ITDemand.csv
Tax,Facilities-Offices,9481.84,sales.csv
Tax,Facilities-Supplies,1340.18,sales.csv
Tax,Facilities-Supplies,6620.76,sales.csv
Accounting,Salary,72599.76,sales.csv
Accounting,Benefits,18875.94,sales.csv
Accounting,Contractors,37283.11,sales.csv
Accounting,Travel-Trips,283.11,sales.csv
Accounting,Travel-Hotels,794.79,sales.csv
Accounting,Professional-Services-Consultants,23008.48,sales.csv
Accounting,Legal-Consultants,10784.77,sales.csv
Accounting,Legal-Corporate Fees,10.93,sales.csv
Accounting,Legal-Employment Fees,24073.56,sales.csv
Accounting,IT-Application-On-Premise,2129.64,ITDemand.csv
Accounting,IT-Application-Subscription,8020.15,ITDemand.csv
Accounting,IT-Infrastructure,9347.79,ITDemand.csv
Accounting,IT-Consultant-System Implementation,3814.57,ITDemand.csv
Accounting,Facilities-Offices,5942.25,sales.csv
Accounting,Facilities-Supplies,4481.31,sales.csv
Accounting,Facilities-Supplies,1355.55,sales.csv
Exec-Office,Salary,71792.86,sales.csv
Exec-Office,Benefits,18666.14,sales.csv
Exec-Office,Contractors,38280.26,sales.csv
Exec-Office,Travel-Trips,896.91,sales.csv
Exec-Office,Travel-Hotels,610.92,sales.csv
Exec-Office,Professional-Services-Consultants,1330.74,sales.csv
Exec-Office,Legal-Consultants,43242.63,sales.csv
Exec-Office,Legal-Corporate Fees,5724.72,sales.csv
Exec-Office,Legal-Employment Fees,21119.26,sales.csv
Exec-Office,IT-Application-On-Premise,493.04,sales.csv
Exec-Office,IT-Application-Subscription,2994.29,sales.csv
Exec-Office,IT-Infrastructure,5404.48,sales.csv
Exec-Office,IT-Consultant-System Implementation,5370.6,sales.csv
Exec-Office,Facilities-Offices,4873.28,sales.csv
Exec-Office,Facilities-Supplies,6392.38,sales.csv
Exec-Office,Facilities-Supplies,5331.29,sales.csv
Finance,Salary,82384.9,sales.csv
Finance,Benefits,21420.07,sales.csv
Finance,Contractors,5139.09,sales.csv
Finance,Travel-Trips,385.97,sales.csv
Finance,Travel-Hotels,634.06,sales.csv
Finance,Professional-Services-Consultants,19897.24,sales.csv
Finance,Legal-Consultants,8153.72,sales.csv
Finance,Legal-Corporate Fees,44891.63,sales.csv
Finance,Legal-Employment Fees,38478.7,sales.csv
Finance,IT-Application-On-Premise,6229.27,ITDemand.csv
Finance,IT-Application-Subscription,3123.19,ITDemand.csv
Finance,IT-Infrastructure,8214.5,ITDemand.csv
Finance,IT-Consultant-System Implementation,665.36,ITDemand.csv
Finance,Facilities-Offices,8464.96,sales.csv
Finance,Facilities-Supplies,6702.03,sales.csv
Finance,Facilities-Supplies,1154.39,sales.csv
IS,Salary,14210.99,payroll.csv
IS,Benefits,3694.86,payroll.csv
IS,Contractors,80609.53,payroll.csv
IS,Travel-Trips,872.06,payroll.csv
IS,Travel-Hotels,575.49,payroll.csv
IS,Professional-Services-Consultants,14064.28,payroll.csv
IS,Legal-Consultants,42953.76,payroll.csv
IS,Legal-Corporate Fees,13098.53,payroll.csv
IS,Legal-Employment Fees,10929.06,payroll.csv
IS,IT-Application-On-Premise,146.12,payroll.csv
IS,IT-Application-Subscription,9495.57,payroll.csv
IS,IT-Infrastructure,916.98,payroll.csv
IS,IT-Consultant-System Implementation,2069.64,payroll.csv
IS,Facilities-Offices,1075.93,payroll.csv
IS,Facilities-Supplies,834.91,payroll.csv
IS,Facilities-Supplies,2330.21,payroll.csv
IT,Salary,99702.11,ITDemand.csv
IT,Benefits,25922.55,ITDemand.csv
IT,Contractors,14642.51,ITDemand.csv
IT,Travel-Trips,208.61,ITDemand.csv
IT,Travel-Hotels,562.84,ITDemand.csv
IT,Professional-Services-Consultants,39706.62,ITDemand.csv
IT,Legal-Consultants,16129.12,ITDemand.csv
IT,Legal-Corporate Fees,39959.59,ITDemand.csv
IT,Legal-Employment Fees,1510.63,ITDemand.csv
IT,IT-Application-On-Premise,8013.89,ITDemand.csv
IT,IT-Application-Subscription,2718.61,ITDemand.csv
IT,IT-Infrastructure,874.32,ITDemand.csv
IT,IT-Consultant-System Implementation,5033.3,ITDemand.csv
IT,Facilities-Offices,6814.78,ITDemand.csv
IT,Facilities-Supplies,1922.68,ITDemand.csv
IT,Facilities-Supplies,8298.93,ITDemand.csv
Legal,Salary,95604.84,sales.csv
Legal,Benefits,24857.26,sales.csv
Legal,Contractors,36002.62,sales.csv
Legal,Travel-Trips,708.41,sales.csv
Legal,Travel-Hotels,991.33,sales.csv
Legal,Professional-Services-Consultants,28762.58,sales.csv
Legal,Legal-Consultants,15239.24,sales.csv
Legal,Legal-Corporate Fees,13461.66,sales.csv
Legal,Legal-Employment Fees,20804.01,sales.csv
Legal,IT-Application-On-Premise,4041.74,ITDemand.csv
Legal,IT-Application-Subscription,7490.25,ITDemand.csv
Legal,IT-Infrastructure,890.39,ITDemand.csv
Legal,IT-Consultant-System Implementation,9733.0,ITDemand.csv
Legal,Facilities-Offices,5168.15,sales.csv
Legal,Facilities-Supplies,1831.16,sales.csv
Legal,Facilities-Supplies,5667.7,sales.csv
Marketing-Events,Salary,68637.04,sales.csv
Marketing-Events,Benefits,17845.63,sales.csv
Marketing-Events,Contractors,93662.1,sales.csv
Marketing-Events,Travel-Trips,799.47,sales.csv
Marketing-Events,Travel-Hotels,997.6,sales.csv
Marketing-Events,Professional-Services-Consultants,2948.46,sales.csv
Marketing-Events,Legal-Consultants,32610.19,sales.csv
Marketing-Events,Legal-Corporate Fees,34949.09,sales.csv
Marketing-Events,Legal-Employment Fees,19065.07,sales.csv
Marketing-Events,IT-Application-On-Premise,4609.2,ITDemand.csv
Marketing-Events,IT-Application-Subscription,7556.7,ITDemand.csv
Marketing-Events,IT-Infrastructure,5253.67,ITDemand.csv
Marketing-Events,IT-Consultant-System Implementation,9244.76,ITDemand.csv
Marketing-Events,Facilities-Offices,588.52,sales.csv
Marketing-Events,Facilities-Supplies,3901.69,sales.csv
Marketing-Events,Facilities-Supplies,4786.46,sales.csv
Marketing-Research,Salary,47233.12,sales.csv
Marketing-Research,Benefits,12280.61,sales.csv
Marketing-Research,Contractors,87579.1,sales.csv
Marketing-Research,Travel-Trips,25.9,sales.csv
Marketing-Research,Travel-Hotels,241.25,sales.csv
Marketing-Research,Professional-Services-Consultants,1168.7,sales.csv
Marketing-Research,Legal-Consultants,40699.74,sales.csv
Marketing-Research,Legal-Corporate Fees,33584.58,sales.csv
Marketing-Research,Legal-Employment Fees,20416.66,sales.csv
Marketing-Research,IT-Application-On-Premise,8591.56,ITDemand.csv
Marketing-Research,IT-Application-Subscription,7696.14,ITDemand.csv
Marketing-Research,IT-Infrastructure,6862.74,ITDemand.csv
Marketing-Research,IT-Consultant-System Implementation,4968.85,ITDemand.csv
Marketing-Research,Facilities-Offices,8901.62,sales.csv
Marketing-Research,Facilities-Supplies,5713.17,sales.csv
Marketing-Research,Facilities-Supplies,4524.55,sales.csv
Marketing-PR,Salary,4979.99,sales.csv
Marketing-PR,Benefits,1294.8,sales.csv
Marketing-PR,Contractors,20942.12,sales.csv
Marketing-PR,Travel-Trips,887.87,sales.csv
Marketing-PR,Travel-Hotels,127.27,sales.csv
Marketing-PR,Professional-Services-Consultants,36511.56,sales.csv
Marketing-PR,Legal-Consultants,44678.28,sales.csv
Marketing-PR,Legal-Corporate Fees,33930.23,sales.csv
Marketing-PR,Legal-Employment Fees,37362.16,sales.csv
Marketing-PR,IT-Application-On-Premise,9636.24,ITDemand.csv
Marketing-PR,IT-Application-Subscription,3683.68,ITDemand.csv
Marketing-PR,IT-Infrastructure,9462.48,ITDemand.csv
Marketing-PR,IT-Consultant-System Implementation,2238.06,ITDemand.csv
Marketing-PR,Facilities-Offices,3447.76,sales.csv
Marketing-PR,Facilities-Supplies,2071.83,sales.csv
Marketing-PR,Facilities-Supplies,33.03,sales.csv
Product-Management,Salary,90056.46,implementation.csv
Product-Management,Benefits,23414.68,implementation.csv
Product-Management,Contractors,18737.71,implementation.csv
Product-Management,Travel-Trips,9.1,implementation.csv
Product-Management,Travel-Hotels,225.03,implementation.csv
Product-Management,Professional-Services-Consultants,6373.42,implementation.csv
Product-Management,Legal-Consultants,13852.23,implementation.csv
Product-Management,Legal-Corporate Fees,36260.89,implementation.csv
Product-Management,Legal-Employment Fees,27231.49,implementation.csv
Product-Management,IT-Application-On-Premise,1328.62,ITDemand.csv
Product-Management,IT-Application-Subscription,3345.74,ITDemand.csv
Product-Management,IT-Infrastructure,8483.23,ITDemand.csv
Product-Management,IT-Consultant-System Implementation,9991.29,ITDemand.csv
Product-Management,Facilities-Offices,7649.79,implementation.csv
Product-Management,Facilities-Supplies,937.55,implementation.csv
Product-Management,Facilities-Supplies,4836.07,implementation.csv
PS,Salary,56883.07,implementation.csv
PS,Benefits,14789.6,implementation.csv
PS,Contractors,19898.21,implementation.csv
PS,Travel-Trips,910.98,implementation.csv
PS,Travel-Hotels,254.01,implementation.csv
PS,Professional-Services-Consultants,22714.0,implementation.csv
PS,Legal-Consultants,34485.97,implementation.csv
PS,Legal-Corporate Fees,13562.93,implementation.csv
PS,Legal-Employment Fees,20226.66,implementation.csv
PS,IT-Application-On-Premise,1962.71,implementation.csv
