BPA,CostCenter,Account,cost
ITDemand,Marketing-02,700000,28635.57
ITDemand,Marketing-02,700001,56711.70999999999
ITDemand,Marketing-02,700002,41667.02
ITDemand,Marketing-02,700003,41758.15
ITDemand,Marketing-03,700000,38991.64
ITDemand,Marketing-03,700001,37668.78999999999
ITDemand,Marketing-03,700002,44876.11
ITDemand,Marketing-03,700003,19389.54
ITDemand,Product-Mgmt-01,700000,31141.769999999997
ITDemand,Product-Mgmt-01,700001,38431.46
ITDemand,Product-Mgmt-01,700002,40089.840000000004
ITDemand,Product-Mgmt-01,700003,36730.32
ITDemand,R&D-01,700000,26754.750000000004
ITDemand,R&D-01,700001,48083.65
ITDemand,R&D-01,700002,37050.58
ITDemand,R&D-01,700003,37115.829999999994
ITDemand,R&D-02,700000,29051.83
ITDemand,R&D-02,700001,46529.57000000001
ITDemand,R&D-02,700002,33003.95
ITDemand,R&D-02,700003,43387.69
ITDemand,R&D-03,700000,45808.909999999996
ITDemand,R&D-03,700001,29331.16
ITDemand,R&D-03,700002,38722.11
ITDemand,R&D-03,700003,30476.350000000002
ITDemand,R&D-04,700000,28757.24
ITDemand,R&D-04,700001,39999.42
ITDemand,R&D-04,700002,43670.07
ITDemand,R&D-04,700003,30561.399999999998
ITDemand,Sales-01,700000,51334.99
ITDemand,Sales-01,700001,32611.26
ITDemand,Sales-01,700002,34906.14
ITDemand,Sales-01,700003,37835.700000000004
ITDemand,Sales-04,700000,35351.590000000004
ITDemand,Sales-04,700001,43581.88
ITDemand,Sales-04,700002,46432.03999999999
ITDemand,Sales-04,700003,36569.58
ITDemand,Sales-05,700000,28089.93
ITDemand,Sales-05,700001,27843.18
ITDemand,Sales-05,700002,27531.81
ITDemand,Sales-05,700003,30807.26
ITDemand,TAX-01,700000,57588.1
ITDemand,TAX-01,700001,32455.54
ITDemand,TAX-01,700002,29941.589999999997
ITDemand,TAX-01,700003,34221.170000000006
payroll,IS-01,100000,370511.73000000004
payroll,IS-01,100001,96333.06000000001
payroll,IS-01,200000,397287.72
payroll,IS-01,400000,5271.2
payroll,IS-01,400001,3069.6400000000003
payroll,IS-01,500000,181960.18
payroll,IS-01,600000,207874.12
payroll,IS-01,600001,142862.76
payroll,IS-01,600002,155688.12
payroll,IS-01,700000,25425.630000000005
payroll,IS-01,700001,57256.3
payroll,IS-01,700002,36434.47
payroll,IS-01,700003,32552.600000000002
payroll,IS-01,800000,34157.03
payroll,IS-01,800001,25050.840000000004
payroll,IS-01,800002,31053.829999999994
sales,ACC-01,100000,229350.2
sales,ACC-01,100001,59631.06
sales,ACC-01,200000,294552.92000000004
sales,ACC-01,400000,2147.12
sales,ACC-01,400001,2973.2599999999998
sales,ACC-01,500000,199585.87
sales,ACC-01,600000,175685.82
sales,ACC-01,600001,147822.0
sales,ACC-01,600002,183376.54
sales,ACC-01,800000,28738.2
sales,ACC-01,800001,40486.75
sales,ACC-01,800002,35573.2
sales,Exec-Office-01,100000,421157.22
sales,Exec-Office-01,100001,109500.88
sales,Exec-Office-01,200000,431995.93000000005
sales,Exec-Office-01,400000,3761.2999999999997
sales,Exec-Office-01,400001,2928.2
sales,Exec-Office-01,500000,178784.2
sales,Exec-Office-01,600000,149549.99000000002
sales,Exec-Office-01,600001,160216.91
sales,Exec-Office-01,600002,198160.49
sales,Exec-Office-01,700000,33231.31
sales,Exec-Office-01,700001,46934.81999999999
sales,Exec-Office-01,700002,49739.63999999999
sales,Exec-Office-01,700003,32887.689999999995
sales,Exec-Office-01,800000,42714.82000000001
sales,Exec-Office-01,800001,36456.1
sales,Exec-Office-01,800002,21873.879999999997
sales,FIN-01,100000,316541.54999999993
sales,FIN-01,100001,82300.8
sales,FIN-01,200000,316887.79000000004
sales,FIN-01,400000,4005.29
sales,FIN-01,400001,3739.3799999999997
sales,FIN-01,500000,154533.34000000003
sales,FIN-01,600000,125041.23999999999
sales,FIN-01,600001,155516.6
sales,FIN-01,600002,201529.24
sales,FIN-01,800000,32093.06
sales,FIN-01,800001,35576.270000000004
sales,FIN-01,800002,36656.009999999995
sales,LEG-01,100000,378348.33
sales,LEG-01,100001,98370.56999999999
sales,LEG-01,200000,309263.82
sales,LEG-01,400000,3093.86
sales,LEG-01,400001,3958.44
sales,LEG-01,500000,171128.69
sales,LEG-01,600000,124275.20000000001
sales,LEG-01,600001,100798.36999999998
sales,LEG-01,600002,221652.03999999998
sales,LEG-01,800000,26991.679999999997
sales,LEG-01,800001,29932.84
sales,LEG-01,800002,46439.70999999999
sales,Marketing-01,100000,365785.96
sales,Marketing-01,100001,95104.35
sales,Marketing-01,200000,378478.58999999997
sales,Marketing-01,400000,3319.89
sales,Marketing-01,400001,3616.16
sales,Marketing-01,500000,145003.59
sales,Marketing-01,600000,136648.83
sales,Marketing-01,600001,163159.33000000002
sales,Marketing-01,600002,160460.06
sales,Marketing-01,800000,39701.659999999996
sales,Marketing-01,800001,38009.87
sales,Marketing-01,800002,36565.44
sales,Marketing-02,100000,482449.69
sales,Marketing-02,100001,125436.91
sales,Marketing-02,200000,437730.04
sales,Marketing-02,400000,1992.3999999999999
sales,Marketing-02,400001,3575.58
sales,Marketing-02,500000,206907.40999999997
sales,Marketing-02,600000,177836.65
sales,Marketing-02,600001,143403.0
sales,Marketing-02,600002,145001.6
sales,Marketing-02,800000,26419.750000000004
sales,Marketing-02,800001,17278.69
sales,Marketing-02,800002,33198.82
sales,Marketing-03,100000,166081.91999999998
sales,Marketing-03,100001,43181.310000000005
sales,Marketing-03,200000,275937.8
sales,Marketing-03,400000,5484.400000000001
sales,Marketing-03,400001,2443.0699999999997
sales,Marketing-03,500000,205767.96
sales,Marketing-03,600000,187387.97
sales,Marketing-03,600001,194148.45
sales,Marketing-03,600002,143721.14
sales,Marketing-03,800000,30696.280000000006
sales,Marketing-03,800001,25326.780000000002
sales,Marketing-03,800002,17560.850000000002
sales,R&D-04,100000,311167.99
sales,R&D-04,100001,80903.68
sales,R&D-04,200000,486245.07
sales,R&D-04,400000,3128.86
sales,R&D-04,400001,3412.34
sales,R&D-04,500000,177797.12000000002
sales,R&D-04,600000,178243.26
sales,R&D-04,600001,146938.26
sales,R&D-04,600002,178594.45
sales,R&D-04,800000,27423.350000000002
sales,R&D-04,800001,28967.340000000004
sales,R&D-04,800002,27201.35
sales,Sales-01,100000,321106.86000000004
sales,Sales-01,100001,83487.79
sales,Sales-01,200000,222355.56
sales,Sales-01,400000,2734.44
sales,Sales-01,400001,3348.4200000000005
sales,Sales-01,500000,111251.98
sales,Sales-01,600000,158693.52
sales,Sales-01,600001,162917.18999999997
sales,Sales-01,600002,154048.16999999998
sales,Sales-02,100000,310363.57
sales,Sales-02,100001,80694.53
sales,Sales-02,200000,378415.35000000003
sales,Sales-02,400000,3582.27
sales,Sales-02,400001,2911.55
sales,Sales-02,500000,158354.92
sales,Sales-02,600000,138728.79
sales,Sales-02,600001,150438.09
sales,Sales-02,600002,82772.83
sales,Sales-02,700000,38740.17
sales,Sales-02,700001,33570.96
sales,Sales-02,700002,32352.159999999996
sales,Sales-02,700003,30217.0
sales,Sales-02,800000,32342.07
sales,Sales-02,800001,47231.06000000001
sales,Sales-02,800002,33789.579999999994
sales,Sales-03,100000,255293.3
sales,Sales-03,100001,66376.25
sales,Sales-03,200000,415427.78
sales,Sales-03,400000,3710.11
sales,Sales-03,400001,3285.7200000000003
sales,Sales-03,500000,186079.23
sales,Sales-03,600000,135081.31999999998
sales,Sales-03,600001,167352.09
sales,Sales-03,600002,173883.15999999997
sales,Sales-03,700000,31681.629999999997
sales,Sales-03,700001,37637.159999999996
sales,Sales-03,700002,40128.35999999999
sales,Sales-03,700003,26448.99
sales,Sales-03,800000,33560.82
sales,Sales-03,800001,42587.53
sales,Sales-03,800002,33835.81
sales,Sales-04,100000,279410.39
sales,Sales-04,100001,72646.7
sales,Sales-04,200000,321169.42999999993
sales,Sales-04,400000,4205.110000000001
sales,Sales-04,400001,3567.88
sales,Sales-04,500000,113080.68999999999
sales,Sales-04,600000,144247.85
sales,Sales-04,600001,154641.86
sales,Sales-04,600002,196019.83000000002
sales,Sales-05,100000,327310.61
sales,Sales-05,100001,85100.77
sales,Sales-05,200000,418893.99
sales,Sales-05,400000,3153.9600000000005
sales,Sales-05,400001,3573.7000000000007
sales,Sales-05,500000,166326.61
sales,Sales-05,600000,98968.51
sales,Sales-05,600001,109503.1
sales,Sales-05,600002,174863.39
sales,Sales-05,800000,40936.159999999996
sales,Sales-05,800001,52176.83
sales,Sales-05,800002,32020.9
sales,TAX-01,100000,395259.70999999996
sales,TAX-01,100001,102767.52
sales,TAX-01,200000,415897.12000000005
sales,TAX-01,400000,4464.62
sales,TAX-01,400001,3541.5299999999997
sales,TAX-01,500000,157909.29
sales,TAX-01,600000,108246.75
sales,TAX-01,600001,141520.82
sales,TAX-01,600002,147422.6
sales,TAX-01,800000,45140.55000000001
sales,TAX-01,800001,46954.119999999995
sales,TAX-01,800002,39049.979999999996
