Legal_Entity,Legal_Entity_Name,Function,CostCenter,CostCenter_Name,Account,Account_Name,Amount,Origin
EUR,Europe,Sales,Sales-02,Sales-Partners,800001,Facilities-Supplies,9251.65,Auto
EUR,Europe,Sales,Sales-02,Sales-Partners,800002,Facilities-Supplies,6699.3,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,100000,Salary,89364.4,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,100001,Benefits,23234.74,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,200000,Contractors,73933.51,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,400000,Travel-Trips,767.11,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,400001,Travel-Hotels,519.46,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,500000,Professional-Services-Consultants,25524.33,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,600000,Legal-Consultants,1968.75,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,600001,Legal-Corporate Fees,22456.87,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,600002,Legal-Employment Fees,38881.24,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,700000,IT-Application-On-Premise,6441.41,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,700001,IT-Application-Subscription,9500.52,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,700002,IT-Infrastructure,3139.77,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,700003,IT-Consultant-System Implementation,1007.56,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,800000,Facilities-Offices,6881.19,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,800001,Facilities-Supplies,464.34,Auto
EUR,Europe,Sales,Sales-03,Sales-Online,800002,Facilities-Supplies,3753.58,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,100000,Salary,49553.9,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,100001,Benefits,12884.01,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,200000,Contractors,26633.31,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,400000,Travel-Trips,651.79,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,400001,Travel-Hotels,910.93,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,500000,Professional-Services-Consultants,16905.68,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,600000,Legal-Consultants,26820.82,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,600001,Legal-Corporate Fees,13558.68,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,600002,Legal-Employment Fees,28137.73,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,700000,IT-Application-On-Premise,9908.93,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,700001,IT-Application-Subscription,2399.52,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,700002,IT-Infrastructure,1942.54,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,700003,IT-Consultant-System Implementation,2105.35,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,800000,Facilities-Offices,958.85,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,800001,Facilities-Supplies,1665.89,Auto
EUR,Europe,Sales,Sales-04,Sales-Ops,800002,Facilities-Supplies,9455.95,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,100000,Salary,26660.98,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,100001,Benefits,6931.85,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,200000,Contractors,71187.79,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,400000,Travel-Trips,84.26,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,400001,Travel-Hotels,516.86,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,500000,Professional-Services-Consultants,3607.79,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,600000,Legal-Consultants,20100.63,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,600001,Legal-Corporate Fees,29670.83,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,600002,Legal-Employment Fees,23211.49,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,700000,IT-Application-On-Premise,506.02,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,700001,IT-Application-Subscription,4750.97,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,700002,IT-Infrastructure,1522.83,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,700003,IT-Consultant-System Implementation,6908,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,800000,Facilities-Offices,6095.73,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,800001,Facilities-Supplies,6012.85,Auto
EUR,Europe,Sales,Sales-05,Sales-Exec,800002,Facilities-Supplies,3535.07,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,100000,Salary,66887.37,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,100001,Benefits,17390.72,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,200000,Contractors,49055.81,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,400000,Travel-Trips,845.77,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,400001,Travel-Hotels,461.83,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,500000,Professional-Services-Consultants,11253.06,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,600000,Legal-Consultants,7440.4,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,600001,Legal-Corporate Fees,33092.83,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,600002,Legal-Employment Fees,13690.66,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,700000,IT-Application-On-Premise,3916.33,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,700001,IT-Application-Subscription,413.72,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,700002,IT-Infrastructure,9456.19,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,700003,IT-Consultant-System Implementation,5175.16,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,800000,Facilities-Offices,9448.98,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,800001,Facilities-Supplies,6620.53,Auto
EUR,Europe,Marketing,Marketing-01,Marketing-Events,800002,Facilities-Supplies,3736.34,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,100000,Salary,79037.68,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,100001,Benefits,20549.8,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,200000,Contractors,85016.9,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,400000,Travel-Trips,517.05,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,400001,Travel-Hotels,949.02,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,500000,Professional-Services-Consultants,40520.32,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,600000,Legal-Consultants,3870,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,600001,Legal-Corporate Fees,14260.03,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,600002,Legal-Employment Fees,5072.35,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,700000,IT-Application-On-Premise,4484.09,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,700001,IT-Application-Subscription,9522.98,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,700002,IT-Infrastructure,8975.81,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,700003,IT-Consultant-System Implementation,2909.99,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,800000,Facilities-Offices,1290.08,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,800001,Facilities-Supplies,1023.41,Auto
EUR,Europe,Marketing,Marketing-02,Marketing-Research,800002,Facilities-Supplies,789.1,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,100000,Salary,6876.37,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,100001,Benefits,1787.86,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,200000,Contractors,53233.38,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,400000,Travel-Trips,897.67,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,400001,Travel-Hotels,465.02,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,500000,Professional-Services-Consultants,41000.03,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,600000,Legal-Consultants,23210.59,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,600001,Legal-Corporate Fees,34471.23,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,600002,Legal-Employment Fees,18843.06,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,700000,IT-Application-On-Premise,6802.09,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,700001,IT-Application-Subscription,9113.01,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,700002,IT-Infrastructure,5146.27,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,700003,IT-Consultant-System Implementation,5246.06,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,800000,Facilities-Offices,3394.76,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,800001,Facilities-Supplies,7490.47,Auto
EUR,Europe,Marketing,Marketing-03,Marketing-PR,800002,Facilities-Supplies,1382.35,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,100000,Salary,94463.3,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,100001,Benefits,24560.46,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,200000,Contractors,85286.88,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,400000,Travel-Trips,375.92,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,400001,Travel-Hotels,295.84,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,500000,Professional-Services-Consultants,27217.35,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,600000,Legal-Consultants,28445.35,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,600001,Legal-Corporate Fees,24552.2,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,600002,Legal-Employment Fees,38044.14,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,700000,IT-Application-On-Premise,1475.85,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,700001,IT-Application-Subscription,4554.87,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,700002,IT-Infrastructure,1058.28,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,700003,IT-Consultant-System Implementation,4119.74,Auto
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,800000,Facilities-Offices,2171.86,JE
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,800001,Facilities-Supplies,9494.86,JE
EUR,Europe,Product-Mgmt,Product-Mgmt-01,Product-Management,800002,Facilities-Supplies,1653.13,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,100000,Salary,9523.16,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,100001,Benefits,2476.02,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,200000,Contractors,22413.1,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,400000,Travel-Trips,6.71,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,400001,Travel-Hotels,531.5,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,500000,Professional-Services-Consultants,16450.23,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,600000,Legal-Consultants,24294.57,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,600001,Legal-Corporate Fees,26987.94,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,600002,Legal-Employment Fees,29792.13,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,700000,IT-Application-On-Premise,3334.59,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,700001,IT-Application-Subscription,8409.58,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,700002,IT-Infrastructure,2550.95,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,700003,IT-Consultant-System Implementation,6113.46,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,800000,Facilities-Offices,750.71,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,800001,Facilities-Supplies,1176.71,JE
EUR,Europe,R&D,R&D-01,R&D-Infrastructure Developmet,800002,Facilities-Supplies,8688.92,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,100000,Salary,80847.74,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,100001,Benefits,21020.41,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,200000,Contractors,56494.53,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,400000,Travel-Trips,845.39,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,400001,Travel-Hotels,406.63,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,500000,Professional-Services-Consultants,26221.73,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,600000,Legal-Consultants,21285.89,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,600001,Legal-Corporate Fees,12224.63,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,600002,Legal-Employment Fees,23193.07,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,700000,IT-Application-On-Premise,5045.45,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,700001,IT-Application-Subscription,3696.82,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,700002,IT-Infrastructure,3984.14,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,700003,IT-Consultant-System Implementation,6144.41,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,800000,Facilities-Offices,6190.68,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,800001,Facilities-Supplies,3985.21,JE
EUR,Europe,R&D,R&D-02,R&D-Applications Development,800002,Facilities-Supplies,5609.77,JE
EUR,Europe,R&D,R&D-03,R&D-Research,100000,Salary,27622.53,JE
EUR,Europe,R&D,R&D-03,R&D-Research,100001,Benefits,7181.86,JE
EUR,Europe,R&D,R&D-03,R&D-Research,200000,Contractors,75009.86,JE
EUR,Europe,R&D,R&D-03,R&D-Research,400000,Travel-Trips,171.11,JE
EUR,Europe,R&D,R&D-03,R&D-Research,400001,Travel-Hotels,151.73,JE
EUR,Europe,R&D,R&D-03,R&D-Research,500000,Professional-Services-Consultants,37503.76,JE
EUR,Europe,R&D,R&D-03,R&D-Research,600000,Legal-Consultants,4596.66,JE
EUR,Europe,R&D,R&D-03,R&D-Research,600001,Legal-Corporate Fees,9192.88,JE
EUR,Europe,R&D,R&D-03,R&D-Research,600002,Legal-Employment Fees,17803.66,JE
EUR,Europe,R&D,R&D-03,R&D-Research,700000,IT-Application-On-Premise,4256.64,JE
EUR,Europe,R&D,R&D-03,R&D-Research,700001,IT-Application-Subscription,8112.22,JE
EUR,Europe,R&D,R&D-03,R&D-Research,700002,IT-Infrastructure,279.37,JE
EUR,Europe,R&D,R&D-03,R&D-Research,700003,IT-Consultant-System Implementation,3734.01,JE
EUR,Europe,R&D,R&D-03,R&D-Research,800000,Facilities-Offices,3125.74,JE
EUR,Europe,R&D,R&D-03,R&D-Research,800001,Facilities-Supplies,2422.66,JE
EUR,Europe,R&D,R&D-03,R&D-Research,800002,Facilities-Supplies,2536.51,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,100000,Salary,37862.33,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,100001,Benefits,9844.21,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,200000,Contractors,88747.55,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,400000,Travel-Trips,733.64,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,400001,Travel-Hotels,431.65,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,500000,Professional-Services-Consultants,43405.42,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,600000,Legal-Consultants,4666.56,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,600001,Legal-Corporate Fees,22523.85,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,600002,Legal-Employment Fees,25837.07,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,700000,IT-Application-On-Premise,6268.39,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,700001,IT-Application-Subscription,8120.74,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,700002,IT-Infrastructure,4302.69,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,700003,IT-Consultant-System Implementation,1095.24,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,800000,Facilities-Offices,6327.01,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,800001,Facilities-Supplies,1149.67,JE
EUR,Europe,R&D,R&D-04,R&D-Parternerships,800002,Facilities-Supplies,9357.9,JE
EUR,Europe,FIN,FIN-01,Finance,100000,Salary,400.49,JE
EUR,Europe,FIN,FIN-01,Finance,100001,Benefits,104.13,JE
EUR,Europe,FIN,FIN-01,Finance,200000,Contractors,56430.75,JE
EUR,Europe,FIN,FIN-01,Finance,400000,Travel-Trips,821.12,JE
EUR,Europe,FIN,FIN-01,Finance,400001,Travel-Hotels,849.13,JE
EUR,Europe,FIN,FIN-01,Finance,500000,Professional-Services-Consultants,3389.91,JE
EUR,Europe,FIN,FIN-01,Finance,600000,Legal-Consultants,13461.28,JE
EUR,Europe,FIN,FIN-01,Finance,600001,Legal-Corporate Fees,13274.7,JE
EUR,Europe,FIN,FIN-01,Finance,600002,Legal-Employment Fees,33279.01,JE
EUR,Europe,FIN,FIN-01,Finance,700000,IT-Application-On-Premise,1685.96,JE
EUR,Europe,FIN,FIN-01,Finance,700001,IT-Application-Subscription,5188.76,JE
EUR,Europe,FIN,FIN-01,Finance,700002,IT-Infrastructure,1540.87,JE
EUR,Europe,FIN,FIN-01,Finance,700003,IT-Consultant-System Implementation,511.37,JE
EUR,Europe,FIN,FIN-01,Finance,800000,Facilities-Offices,1629.22,JE
EUR,Europe,FIN,FIN-01,Finance,800001,Facilities-Supplies,3697.4,JE
EUR,Europe,FIN,FIN-01,Finance,800002,Facilities-Supplies,5869.33,JE
EUR,Europe,ACC,ACC-01,Accounting,100000,Salary,99661.9,JE
EUR,Europe,ACC,ACC-01,Accounting,100001,Benefits,25912.09,JE
EUR,Europe,ACC,ACC-01,Accounting,200000,Contractors,19276.79,JE
EUR,Europe,ACC,ACC-01,Accounting,400000,Travel-Trips,741,JE
EUR,Europe,ACC,ACC-01,Accounting,400001,Travel-Hotels,169.56,JE
EUR,Europe,ACC,ACC-01,Accounting,500000,Professional-Services-Consultants,43007.34,JE
EUR,Europe,ACC,ACC-01,Accounting,600000,Legal-Consultants,43810.48,JE
EUR,Europe,ACC,ACC-01,Accounting,600001,Legal-Corporate Fees,21897.35,JE
EUR,Europe,ACC,ACC-01,Accounting,600002,Legal-Employment Fees,24084.02,JE
EUR,Europe,ACC,ACC-01,Accounting,700000,IT-Application-On-Premise,848.1,JE
EUR,Europe,ACC,ACC-01,Accounting,700001,IT-Application-Subscription,238.5,JE
EUR,Europe,ACC,ACC-01,Accounting,700002,IT-Infrastructure,859.8,JE
EUR,Europe,ACC,ACC-01,Accounting,700003,IT-Consultant-System Implementation,4915.83,JE
EUR,Europe,ACC,ACC-01,Accounting,800000,Facilities-Offices,4557.29,JE
EUR,Europe,ACC,ACC-01,Accounting,800001,Facilities-Supplies,6467.35,JE
EUR,Europe,ACC,ACC-01,Accounting,800002,Facilities-Supplies,167.04,JE
EUR,Europe,IT,IT-01,IT,100000,Salary,5478.62,JE
EUR,Europe,IT,IT-01,IT,100001,Benefits,1424.44,JE
EUR,Europe,IT,IT-01,IT,200000,Contractors,93799.94,JE
EUR,Europe,IT,IT-01,IT,400000,Travel-Trips,489.12,JE
EUR,Europe,IT,IT-01,IT,400001,Travel-Hotels,412.98,JE
EUR,Europe,IT,IT-01,IT,500000,Professional-Services-Consultants,34823.92,JE
EUR,Europe,IT,IT-01,IT,600000,Legal-Consultants,24649.07,JE
EUR,Europe,IT,IT-01,IT,600001,Legal-Corporate Fees,31821.33,JE
EUR,Europe,IT,IT-01,IT,600002,Legal-Employment Fees,6019.21,JE
EUR,Europe,IT,IT-01,IT,700000,IT-Application-On-Premise,3160.17,JE
EUR,Europe,IT,IT-01,IT,700001,IT-Application-Subscription,8947.19,JE
EUR,Europe,IT,IT-01,IT,700002,IT-Infrastructure,4009.68,JE
EUR,Europe,IT,IT-01,IT,700003,IT-Consultant-System Implementation,1696.66,JE
EUR,Europe,IT,IT-01,IT,800000,Facilities-Offices,4420,JE
EUR,Europe,IT,IT-01,IT,800001,Facilities-Supplies,9782.73,JE
EUR,Europe,IT,IT-01,IT,800002,Facilities-Supplies,8470.54,JE
EUR,Europe,PS,PS-01,PS,100000,Salary,32789.42,JE
EUR,Europe,PS,PS-01,PS,100001,Benefits,8525.25,JE
EUR,Europe,PS,PS-01,PS,200000,Contractors,75380.48,JE
EUR,Europe,PS,PS-01,PS,400000,Travel-Trips,414.12,JE
EUR,Europe,PS,PS-01,PS,400001,Travel-Hotels,880.98,JE
EUR,Europe,PS,PS-01,PS,500000,Professional-Services-Consultants,35149.36,JE
EUR,Europe,PS,PS-01,PS,600000,Legal-Consultants,18523.55,JE
EUR,Europe,PS,PS-01,PS,600001,Legal-Corporate Fees,25400.08,JE
EUR,Europe,PS,PS-01,PS,600002,Legal-Employment Fees,12141.74,JE
EUR,Europe,PS,PS-01,PS,700000,IT-Application-On-Premise,3606.01,JE
EUR,Europe,PS,PS-01,PS,700001,IT-Application-Subscription,4417.18,JE
EUR,Europe,PS,PS-01,PS,700002,IT-Infrastructure,1413.71,JE
EUR,Europe,PS,PS-01,PS,700003,IT-Consultant-System Implementation,2119.07,JE
EUR,Europe,PS,PS-01,PS,800000,Facilities-Offices,7146.34,JE
EUR,Europe,PS,PS-01,PS,800001,Facilities-Supplies,7048.24,JE
EUR,Europe,PS,PS-01,PS,800002,Facilities-Supplies,7590.48,JE
EUR,Europe,IS,IS-01,IS,100000,Salary,20132,JE
EUR,Europe,IS,IS-01,IS,100001,Benefits,5234.32,JE
EUR,Europe,IS,IS-01,IS,200000,Contractors,53456.64,JE
EUR,Europe,IS,IS-01,IS,400000,Travel-Trips,844.58,JE
EUR,Europe,IS,IS-01,IS,400001,Travel-Hotels,111.65,JE
EUR,Europe,IS,IS-01,IS,500000,Professional-Services-Consultants,476.15,JE
EUR,Europe,IS,IS-01,IS,600000,Legal-Consultants,43120.34,JE
EUR,Europe,IS,IS-01,IS,600001,Legal-Corporate Fees,12670.84,JE
EUR,Europe,IS,IS-01,IS,600002,Legal-Employment Fees,41058.02,JE
EUR,Europe,IS,IS-01,IS,700000,IT-Application-On-Premise,3734.61,JE
EUR,Europe,IS,IS-01,IS,700001,IT-Application-Subscription,9903.57,JE
EUR,Europe,IS,IS-01,IS,700002,IT-Infrastructure,7958.38,JE
EUR,Europe,IS,IS-01,IS,700003,IT-Consultant-System Implementation,2977.06,JE
EUR,Europe,IS,IS-01,IS,800000,Facilities-Offices,28.64,JE
EUR,Europe,IS,IS-01,IS,800001,Facilities-Supplies,4602.6,JE
EUR,Europe,IS,IS-01,IS,800002,Facilities-Supplies,4244.65,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,100000,Salary,60732.84,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,100001,Benefits,15790.54,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,200000,Contractors,32855.06,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,400000,Travel-Trips,455.39,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,400001,Travel-Hotels,414.8,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,500000,Professional-Services-Consultants,44928.4,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,600000,Legal-Consultants,3538.88,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,600001,Legal-Corporate Fees,2101.23,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,600002,Legal-Employment Fees,19172.12,JE
EUR,Europe,Exec-Office,Exec-Office-01,Exec-Office,700000,IT-Application-On-Premise,4215.5,JE
